record_id,timestamp,hour,zone_id,zone_name,road_name,latitude,longitude,dashcam_detection_confidence,pothole_depth_cm,pothole_width_cm,surface_area_sqm,road_roughness_iri,vehicle_vibration_g,approaching_speed_kmh,weather,lighting,severity,repair_urgency,community_reports_count,verified_status,synthetic_label
POT-000011,2026-01-10 13:14:00,13,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.925738,77.680214,0.817,12.2,74.3,0.091,8.51,1.93,47.3,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000012,2026-02-11 15:07:00,15,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.973926,77.640422,0.848,15.4,55.1,0.085,3.8,2.31,55.3,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000013,2026-01-20 12:57:00,12,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.977341,77.610587,0.842,15.8,101.6,0.161,2.67,2.88,36.7,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000014,2026-02-21 15:06:00,15,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.847657,77.660252,0.921,5.9,44.2,0.026,9.61,2.58,54.3,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000015,2026-03-08 00:19:00,0,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.975064,77.602983,0.89,11.6,78.2,0.091,4.61,0.33,56.8,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000016,2026-03-05 06:53:00,6,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.968747,77.636988,0.96,4.1,38.4,0.016,9.81,2.28,38.0,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000017,2026-01-26 16:51:00,16,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.953266,77.69999,0.825,18.0,21.0,0.038,7.46,1.36,49.8,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000018,2026-03-18 07:59:00,7,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.033322,77.59843,0.839,6.1,71.7,0.044,7.67,0.87,28.4,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000019,2026-03-20 18:21:00,18,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.916171,77.650398,0.846,4.0,36.3,0.015,7.66,0.37,52.6,CLEAR,DAYLIGHT,HIGH,URGENT_24H,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000020,2026-03-22 07:40:00,7,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.033753,77.598476,0.926,9.5,26.1,0.025,7.28,0.23,41.5,CLOUDY,DAYLIGHT,HIGH,URGENT_24H,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000021,2026-03-21 00:17:00,0,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.955817,77.703752,0.86,16.7,52.1,0.087,6.7,3.14,30.5,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000022,2026-01-21 06:32:00,6,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.920745,77.647214,0.951,18.1,43.8,0.079,6.98,2.6,35.7,RAIN,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000023,2026-01-28 01:10:00,1,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.973131,77.603568,0.963,3.0,75.5,0.023,7.24,2.42,47.0,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000024,2026-01-26 04:08:00,4,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.989142,77.734902,0.821,4.9,56.3,0.028,2.92,1.47,38.9,HEAVY_RAIN,NIGHT_LIT,HIGH,URGENT_24H,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000025,2026-01-28 03:44:00,3,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.975389,77.606498,0.804,8.3,57.8,0.048,4.57,1.12,31.8,RAIN,NIGHT_LIT,HIGH,URGENT_24H,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000026,2026-03-31 16:05:00,16,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.842049,77.664889,0.955,13.7,16.3,0.022,9.55,0.66,37.2,HEAVY_RAIN,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,4,1,SYNTHETIC_DASHCAM_HAZARD
POT-000027,2026-01-11 10:30:00,10,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.03867,77.598567,0.874,3.8,44.4,0.017,5.0,1.46,26.2,CLEAR,DAYLIGHT,HIGH,URGENT_24H,4,1,SYNTHETIC_DASHCAM_HAZARD
POT-000028,2026-01-05 18:07:00,18,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,13.000977,77.687632,0.811,15.0,53.3,0.08,3.54,3.03,37.4,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000029,2026-03-17 05:19:00,5,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.953513,77.701214,0.969,10.9,29.7,0.032,10.32,1.01,24.6,CLOUDY,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000030,2026-01-26 12:35:00,12,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.956996,77.704833,0.843,5.0,24.3,0.012,8.91,3.4,22.5,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000031,2026-01-06 11:02:00,11,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.977234,77.608752,0.932,2.5,33.2,0.008,4.61,1.85,35.4,CLOUDY,DAYLIGHT,HIGH,URGENT_24H,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000032,2026-01-30 12:45:00,12,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.973502,77.644351,0.901,11.5,109.5,0.126,9.28,2.84,62.2,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000033,2026-03-28 06:07:00,6,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.921853,77.65123,0.924,13.4,30.4,0.041,6.91,1.73,39.4,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000034,2026-03-17 11:13:00,11,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.932306,77.628149,0.899,12.4,59.0,0.073,4.86,1.5,62.4,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000035,2026-01-17 17:14:00,17,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.984701,77.732695,0.887,11.2,103.0,0.115,4.46,2.03,30.2,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000036,2026-02-16 08:42:00,8,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.961119,77.699177,0.884,17.3,79.9,0.138,3.76,3.21,40.1,RAIN,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000037,2026-01-16 03:22:00,3,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,13.000394,77.687632,0.822,8.7,28.3,0.025,4.31,0.33,51.2,CLOUDY,NIGHT_LIT,HIGH,URGENT_24H,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000038,2026-01-29 21:36:00,21,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,13.001613,77.691793,0.912,5.7,93.8,0.053,10.53,0.41,24.8,HEAVY_RAIN,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000039,2026-01-28 04:35:00,4,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.990633,77.734693,0.925,15.9,53.9,0.086,10.48,2.56,62.0,RAIN,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000040,2026-01-09 02:57:00,2,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.974394,77.607787,0.963,15.3,58.0,0.089,7.68,2.34,23.8,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000041,2026-01-16 03:24:00,3,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.844289,77.660899,0.947,12.7,86.9,0.11,9.34,2.18,33.9,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000042,2026-02-28 15:32:00,15,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.021547,77.553681,0.847,8.0,93.7,0.075,4.66,0.5,33.8,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000043,2026-01-16 13:59:00,13,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.918353,77.61957,0.983,18.3,83.8,0.153,4.84,2.38,54.4,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000044,2026-01-22 16:34:00,16,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.022416,77.556586,0.871,2.7,91.5,0.025,10.12,0.88,37.5,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000045,2026-03-22 13:17:00,13,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.940163,77.624597,0.925,18.0,25.7,0.046,4.9,0.59,62.8,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000046,2026-02-28 18:05:00,18,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.974318,77.646163,0.933,16.6,89.4,0.148,7.32,0.69,29.6,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000047,2026-01-09 01:54:00,1,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.846166,77.65868,0.973,12.7,26.9,0.034,3.65,2.5,50.7,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000048,2026-02-03 16:32:00,16,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.916575,77.650071,0.942,9.7,36.9,0.036,9.4,1.26,38.8,CLOUDY,DAYLIGHT,HIGH,URGENT_24H,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000049,2026-03-19 21:11:00,21,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.841441,77.657101,0.843,13.4,16.0,0.021,10.34,1.8,24.7,RAIN,NIGHT_UNLIT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000050,2026-03-22 05:02:00,5,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.971734,77.604122,0.927,8.4,68.3,0.057,7.89,1.95,58.1,CLEAR,NIGHT_UNLIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000051,2026-01-22 19:11:00,19,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,13.002072,77.695506,0.806,7.4,105.7,0.078,5.34,2.97,27.2,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000052,2026-01-31 08:49:00,8,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.919711,77.650843,0.859,18.1,37.5,0.068,2.66,0.63,29.3,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000053,2026-01-28 00:19:00,0,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.954936,77.704899,0.844,5.5,98.0,0.054,4.28,0.51,21.0,CLOUDY,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000054,2026-02-14 02:52:00,2,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.984635,77.730334,0.907,17.7,35.0,0.062,3.26,3.32,25.2,CLEAR,NIGHT_UNLIT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000055,2026-03-15 15:53:00,15,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.969436,77.64365,0.861,12.9,98.1,0.127,7.7,0.38,24.2,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000056,2026-03-22 06:36:00,6,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.967042,77.643564,0.989,5.5,49.9,0.027,9.4,2.48,42.1,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000057,2026-01-12 23:18:00,23,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.924358,77.648533,0.821,17.2,80.9,0.139,9.26,0.45,58.9,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000058,2026-03-03 03:04:00,3,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.957963,77.705694,0.96,9.2,106.1,0.098,9.13,1.65,24.5,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,4,1,SYNTHETIC_DASHCAM_HAZARD
POT-000059,2026-02-09 22:03:00,22,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.922863,77.673491,0.935,18.3,49.7,0.091,2.65,1.96,32.9,CLEAR,NIGHT_UNLIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000060,2026-01-12 18:23:00,18,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.917703,77.621874,0.87,11.3,42.5,0.048,3.48,1.56,41.7,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000061,2026-01-24 09:18:00,9,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.989614,77.728096,0.978,8.6,72.4,0.062,7.26,2.47,59.8,RAIN,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000062,2026-01-06 17:24:00,17,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.975735,77.609813,0.954,6.0,43.1,0.026,9.07,1.98,57.8,RAIN,DAYLIGHT,HIGH,URGENT_24H,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000063,2026-02-02 01:18:00,1,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.039163,77.594918,0.871,6.1,36.4,0.022,3.43,2.76,53.2,CLEAR,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000064,2026-02-24 16:34:00,16,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.972103,77.640042,0.831,11.9,100.7,0.12,8.02,3.08,44.4,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000065,2026-03-12 13:21:00,13,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.848423,77.662241,0.827,14.6,60.7,0.089,5.18,0.41,41.3,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000066,2026-01-07 08:00:00,8,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.975603,77.611548,0.988,12.8,55.0,0.07,3.67,1.15,21.5,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000067,2026-01-10 14:08:00,14,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926129,77.677273,0.867,16.3,73.1,0.119,3.54,2.67,39.8,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000068,2026-02-20 11:20:00,11,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926406,77.680156,0.835,8.0,35.5,0.028,6.19,0.61,53.4,CLEAR,DAYLIGHT,HIGH,URGENT_24H,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000069,2026-02-28 02:22:00,2,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.931646,77.621682,0.819,18.3,31.9,0.058,7.51,2.06,42.9,RAIN,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,4,1,SYNTHETIC_DASHCAM_HAZARD
POT-000070,2026-03-30 05:45:00,5,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.031617,77.600542,0.988,11.1,66.0,0.073,3.49,2.75,63.0,CLOUDY,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000071,2026-01-19 17:43:00,17,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.977346,77.604161,0.914,5.7,76.0,0.043,6.14,1.71,52.2,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000072,2026-01-03 13:59:00,13,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.985834,77.734947,0.809,12.2,45.5,0.056,2.93,2.31,21.6,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000073,2026-02-22 11:41:00,11,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,12.993841,77.694905,0.879,5.6,102.5,0.057,5.88,1.67,46.4,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000074,2026-01-12 08:01:00,8,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.983383,77.733987,0.883,14.0,91.5,0.128,5.89,2.88,32.8,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000075,2026-02-04 09:42:00,9,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.918478,77.622535,0.935,7.6,46.4,0.035,6.78,0.27,53.7,CLEAR,DAYLIGHT,HIGH,URGENT_24H,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000076,2026-03-05 08:06:00,8,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.915713,77.647044,0.905,13.1,79.1,0.104,10.56,3.39,23.1,CLOUDY,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000077,2026-03-28 10:02:00,10,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0232,77.556027,0.798,16.5,83.7,0.138,7.74,0.27,30.4,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000078,2026-01-27 11:08:00,11,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.981587,77.732382,0.964,17.3,84.2,0.146,7.69,0.26,30.8,RAIN,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,4,1,SYNTHETIC_DASHCAM_HAZARD
POT-000079,2026-02-09 23:24:00,23,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.921485,77.67938,0.969,3.9,100.6,0.039,4.43,2.31,50.1,CLEAR,NIGHT_UNLIT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
POT-000080,2026-01-04 06:46:00,6,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.929013,77.674647,0.803,10.7,57.0,0.061,9.11,2.45,36.7,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,3,1,SYNTHETIC_DASHCAM_HAZARD
POT-000081,2026-01-04 20:22:00,20,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.986476,77.72748,0.917,14.0,40.5,0.057,9.23,2.52,31.7,HEAVY_RAIN,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,5,1,SYNTHETIC_DASHCAM_HAZARD
POT-000082,2026-02-01 16:09:00,16,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.918419,77.618919,0.819,17.2,77.2,0.133,2.7,0.59,44.6,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000083,2026-03-28 14:58:00,14,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.974822,77.645598,0.966,17.9,98.2,0.176,2.51,2.16,53.4,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,2,1,SYNTHETIC_DASHCAM_HAZARD
POT-000084,2026-03-06 21:09:00,21,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.914913,77.646804,0.781,9.8,28.3,0.028,4.26,2.27,39.3,HEAVY_RAIN,NIGHT_LIT,CRITICAL,EMERGENCY_IMMEDIATE,4,1,SYNTHETIC_DASHCAM_HAZARD
POT-000085,2026-02-22 18:55:00,18,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.023766,77.548259,0.875,11.5,62.3,0.072,3.88,1.34,50.2,CLEAR,DAYLIGHT,CRITICAL,EMERGENCY_IMMEDIATE,1,0,SYNTHETIC_DASHCAM_HAZARD
