incident_id,vehicle_id,vehicle_speed_kmh,deceleration_mps2,jerk_mps3,heading_change_deg,airbag_trigger,impact_sensor_indicator,collision_distance_m,braking_status,nearby_vehicle_count,vehicle_density,road_condition,weather_condition,visibility_km,calculated_collision_probability,road_blockage_probability,emergency_required,severity,accident_detected_label,telemetry_source
ACC-REC-000011,VEH-181,73.0,16.09,52.66,52.9,0,0.78,5.1,CRASH_STOP,7,0.33,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.824,0.92,1,MEDIUM,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000012,VEH-164,85.2,3.26,2.1,6.8,0,0.02,150.6,NONE,11,0.78,POOR,CLOUDY,2.0,0.093,0.06,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000013,VEH-031,83.5,0.83,3.44,6.6,0,0.088,131.7,LIGHT,13,0.84,POOR,RAIN,5.0,0.05,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000014,VEH-178,54.7,17.23,45.71,87.6,0,0.854,1.9,CRASH_STOP,4,0.32,UNDER_CONSTRUCTION,RAIN,5.0,0.85,0.89,1,MEDIUM,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000015,VEH-159,65.7,1.96,2.47,6.9,0,0.065,110.1,LIGHT,8,0.5,FAIR,RAIN,5.0,0.07,0.02,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000016,VEH-137,53.9,1.85,2.67,7.3,0,0.038,158.1,LIGHT,14,0.86,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.063,0.1,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000017,VEH-140,87.9,0.67,2.47,8.5,0,0.106,156.8,NONE,8,0.31,POOR,RAIN,5.0,0.046,0.0,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000018,VEH-099,33.6,3.2,1.48,7.3,0,0.054,245.8,LIGHT,13,0.85,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.096,0.01,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000019,VEH-127,75.0,2.37,1.46,5.8,0,0.039,244.4,LIGHT,12,0.65,GOOD,RAIN,5.0,0.072,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000020,VEH-089,37.0,9.45,48.6,31.6,1,0.889,5.8,CRASH_STOP,10,0.57,GOOD,CLOUDY,2.0,0.664,0.8,1,CRITICAL,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000021,VEH-099,87.9,0.13,1.91,4.2,0,0.0,59.7,NORMAL,10,0.77,GOOD,CLOUDY,2.0,0.01,0.06,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000022,VEH-154,75.9,2.68,2.81,2.3,0,0.045,228.9,NORMAL,11,0.55,FAIR,CLOUDY,2.0,0.085,0.08,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000023,VEH-137,12.9,7.37,10.73,27.0,0,0.353,17.2,HARD_BRAKING,11,0.68,UNDER_CONSTRUCTION,FOG,2.0,0.356,0.44,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000024,VEH-143,25.0,2.97,1.31,2.1,0,0.095,77.8,NORMAL,8,0.31,POOR,FOG,2.0,0.098,0.11,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000025,VEH-112,87.8,0.57,0.55,9.6,0,0.104,224.7,LIGHT,6,0.35,UNDER_CONSTRUCTION,CLOUDY,2.0,0.037,0.01,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000026,VEH-048,13.5,0.14,0.49,0.9,0,0.11,225.2,LIGHT,9,0.4,UNDER_CONSTRUCTION,FOG,2.0,0.027,0.1,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000027,VEH-088,31.1,2.5,0.94,15.2,0,0.122,123.2,LIGHT,6,0.26,GOOD,CLEAR,10.0,0.09,0.04,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000028,VEH-166,19.6,12.34,49.96,137.0,1,0.772,0.6,CRASH_STOP,15,0.81,FAIR,RAIN,5.0,0.728,0.84,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000029,VEH-132,18.3,3.27,0.22,0.0,0,0.136,92.6,NORMAL,11,0.74,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.11,0.08,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000030,VEH-063,38.5,2.05,2.76,0.9,0,0.078,239.9,NONE,8,0.3,POOR,RAIN,5.0,0.076,0.1,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000031,VEH-187,52.2,0.87,0.13,8.7,0,0.022,226.4,NORMAL,6,0.27,GOOD,RAIN,5.0,0.027,0.11,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000032,VEH-164,69.5,1.29,2.82,12.2,0,0.08,211.7,LIGHT,12,0.81,POOR,HEAVY_RAIN,2.0,0.058,0.09,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000033,VEH-173,53.6,2.48,3.21,6.7,0,0.052,88.8,NORMAL,6,0.34,GOOD,FOG,2.0,0.083,0.05,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000034,VEH-133,79.3,3.3,1.14,15.2,0,0.013,170.1,NONE,14,0.77,GOOD,CLEAR,10.0,0.089,0.06,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000035,VEH-147,87.6,7.19,12.48,37.7,0,0.468,28.3,HARD_BRAKING,9,0.41,FAIR,CLOUDY,2.0,0.358,0.42,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000036,VEH-182,25.1,1.6,2.64,11.1,0,0.089,47.9,NONE,11,0.57,POOR,CLOUDY,2.0,0.071,0.13,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000037,VEH-149,79.3,2.15,0.16,7.4,0,0.103,226.1,LIGHT,8,0.53,POOR,HEAVY_RAIN,2.0,0.075,0.11,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000038,VEH-119,13.6,9.06,60.27,50.4,1,0.724,4.0,CRASH_STOP,8,0.48,POOR,CLEAR,10.0,0.664,0.78,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000039,VEH-095,18.3,1.27,2.88,3.5,0,0.046,230.8,LIGHT,12,0.83,POOR,HEAVY_RAIN,2.0,0.051,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000040,VEH-160,74.7,0.52,0.41,13.5,0,0.039,105.4,NORMAL,12,0.78,GOOD,CLOUDY,2.0,0.022,0.03,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000041,VEH-013,19.1,5.58,13.46,20.6,0,0.431,6.1,HARD_BRAKING,12,0.79,FAIR,CLEAR,10.0,0.358,0.43,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000042,VEH-034,23.2,11.61,46.18,70.7,1,0.944,3.8,CRASH_STOP,9,0.62,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.725,0.95,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000043,VEH-117,30.6,16.74,40.04,84.1,1,0.939,2.8,CRASH_STOP,13,0.65,FAIR,HEAVY_RAIN,2.0,0.834,0.79,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000044,VEH-168,56.5,0.12,3.68,6.4,0,0.122,69.9,NORMAL,12,0.76,GOOD,HEAVY_RAIN,2.0,0.04,0.04,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000045,VEH-076,28.9,0.75,1.17,6.4,0,0.015,232.8,NONE,12,0.77,GOOD,RAIN,5.0,0.026,0.13,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000046,VEH-169,55.0,3.72,3.46,8.1,0,0.114,119.4,NONE,6,0.4,FAIR,CLEAR,10.0,0.127,0.07,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000047,VEH-047,71.3,3.61,0.95,3.2,0,0.029,226.6,NONE,7,0.33,GOOD,RAIN,5.0,0.099,0.15,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000048,VEH-085,39.3,1.25,2.75,1.5,0,0.096,121.0,NORMAL,15,0.94,FAIR,FOG,2.0,0.06,0.02,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000049,VEH-035,70.2,3.3,1.17,5.7,0,0.061,245.9,NONE,3,0.28,UNDER_CONSTRUCTION,RAIN,5.0,0.099,0.01,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000050,VEH-061,80.7,3.55,3.87,0.1,0,0.114,211.9,NORMAL,8,0.53,FAIR,FOG,2.0,0.124,0.04,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000051,VEH-043,31.3,5.47,15.47,16.6,0,0.234,14.7,HARD_BRAKING,12,0.75,GOOD,CLOUDY,2.0,0.306,0.64,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000052,VEH-113,18.1,1.21,1.19,0.4,0,0.114,149.1,NONE,10,0.48,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.057,0.12,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000053,VEH-162,90.5,6.3,6.4,8.3,0,0.527,22.9,HARD_BRAKING,13,0.89,FAIR,FOG,2.0,0.338,0.45,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000054,VEH-078,58.0,1.77,2.52,3.6,0,0.083,117.6,NONE,16,0.91,POOR,FOG,2.0,0.069,0.15,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000055,VEH-033,14.1,11.49,49.05,39.0,1,0.86,2.0,CRASH_STOP,8,0.55,FAIR,CLEAR,10.0,0.719,0.87,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000056,VEH-156,87.6,16.24,49.93,111.7,1,0.928,3.9,CRASH_STOP,10,0.7,FAIR,CLEAR,10.0,0.85,0.81,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000057,VEH-016,47.8,7.3,15.29,33.0,0,0.315,8.9,HARD_BRAKING,4,0.3,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.379,0.57,0,LOW,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000058,VEH-065,29.7,0.86,2.27,2.2,0,0.146,220.8,LIGHT,14,0.74,UNDER_CONSTRUCTION,CLEAR,10.0,0.058,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000059,VEH-004,24.3,13.99,74.85,147.7,1,0.811,0.4,CRASH_STOP,12,0.88,FAIR,RAIN,5.0,0.861,0.8,1,CRITICAL,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000060,VEH-039,32.4,0.78,0.21,18.6,0,0.077,175.0,NORMAL,11,0.82,UNDER_CONSTRUCTION,CLOUDY,2.0,0.036,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000061,VEH-118,88.2,0.23,1.14,2.2,0,0.062,195.5,LIGHT,14,0.9,FAIR,CLEAR,10.0,0.022,0.13,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000062,VEH-190,33.1,2.94,1.84,7.0,0,0.036,79.0,NONE,12,0.65,GOOD,HEAVY_RAIN,2.0,0.087,0.1,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000063,VEH-074,85.2,2.87,3.89,3.9,0,0.011,244.0,NONE,13,0.65,FAIR,HEAVY_RAIN,2.0,0.087,0.13,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000064,VEH-190,91.7,0.13,3.83,9.4,0,0.06,111.4,LIGHT,9,0.52,POOR,CLEAR,10.0,0.028,0.02,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000065,VEH-190,52.0,16.34,40.25,127.8,0,0.949,2.8,CRASH_STOP,11,0.8,POOR,CLEAR,10.0,0.827,0.94,1,MEDIUM,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000066,VEH-029,74.3,5.53,12.57,11.7,0,0.47,13.0,HARD_BRAKING,15,0.85,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.348,0.47,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000067,VEH-104,63.9,8.54,71.52,86.3,0,0.978,3.2,CRASH_STOP,11,0.75,GOOD,HEAVY_RAIN,2.0,0.741,0.9,1,MEDIUM,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000068,VEH-136,26.5,7.65,17.72,35.5,0,0.433,12.6,HARD_BRAKING,17,0.94,FAIR,CLOUDY,2.0,0.412,0.41,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000069,VEH-092,57.3,2.19,3.09,5.0,0,0.061,153.3,NORMAL,16,0.88,POOR,RAIN,5.0,0.077,0.06,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000070,VEH-182,36.2,6.3,10.37,7.8,0,0.418,20.6,HARD_BRAKING,6,0.42,FAIR,CLOUDY,2.0,0.334,0.54,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000071,VEH-154,89.8,3.06,2.2,6.3,0,0.144,247.0,NORMAL,5,0.39,POOR,CLEAR,10.0,0.113,0.01,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000072,VEH-061,55.2,10.94,33.37,154.7,1,0.822,5.8,CRASH_STOP,10,0.72,GOOD,CLEAR,10.0,0.638,0.96,1,CRITICAL,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000073,VEH-148,41.5,7.07,15.88,44.0,0,0.216,6.1,HARD_BRAKING,11,0.78,UNDER_CONSTRUCTION,CLOUDY,2.0,0.361,0.53,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000074,VEH-119,91.0,1.7,3.76,0.7,0,0.121,79.9,NORMAL,9,0.37,UNDER_CONSTRUCTION,CLEAR,10.0,0.079,0.03,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000075,VEH-100,44.0,0.75,2.82,9.4,0,0.103,107.5,NORMAL,6,0.25,GOOD,CLEAR,10.0,0.049,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000076,VEH-010,66.5,6.65,7.54,36.9,0,0.312,16.6,HARD_BRAKING,17,0.94,FAIR,CLOUDY,2.0,0.321,0.42,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000077,VEH-052,62.1,11.34,36.44,56.3,1,0.712,4.2,CRASH_STOP,13,0.77,POOR,HEAVY_RAIN,2.0,0.639,0.86,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000078,VEH-158,48.2,3.78,3.55,5.6,0,0.086,123.5,NONE,12,0.63,FAIR,FOG,2.0,0.124,0.12,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000079,VEH-095,51.1,5.86,10.12,6.5,0,0.454,23.8,HARD_BRAKING,13,0.83,UNDER_CONSTRUCTION,RAIN,5.0,0.323,0.47,0,LOW,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000080,VEH-157,31.4,2.4,0.63,2.0,0,0.149,113.2,LIGHT,5,0.28,UNDER_CONSTRUCTION,CLEAR,10.0,0.092,0.09,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000081,VEH-038,18.8,3.3,3.74,3.0,0,0.141,52.1,LIGHT,8,0.52,FAIR,RAIN,5.0,0.123,0.14,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000082,VEH-147,35.5,3.4,1.62,0.6,0,0.029,69.1,NORMAL,6,0.27,UNDER_CONSTRUCTION,CLOUDY,2.0,0.096,0.03,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000083,VEH-098,75.1,5.97,15.9,20.3,0,0.441,10.9,HARD_BRAKING,11,0.53,GOOD,CLEAR,10.0,0.369,0.5,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000084,VEH-183,42.6,6.23,6.73,15.3,0,0.469,17.6,HARD_BRAKING,4,0.32,GOOD,FOG,2.0,0.337,0.63,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000085,VEH-045,40.6,6.9,9.74,31.2,0,0.466,11.1,HARD_BRAKING,7,0.32,POOR,CLEAR,10.0,0.376,0.45,0,LOW,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000086,VEH-058,52.2,3.02,2.93,4.1,0,0.052,137.6,LIGHT,5,0.34,POOR,RAIN,5.0,0.096,0.1,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000087,VEH-022,36.1,0.46,2.87,3.2,0,0.143,206.8,NONE,14,0.91,UNDER_CONSTRUCTION,CLOUDY,2.0,0.05,0.07,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000088,VEH-165,57.4,1.37,3.65,2.3,0,0.083,43.8,LIGHT,11,0.58,FAIR,CLEAR,10.0,0.075,0.01,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000089,VEH-154,56.9,8.29,7.04,27.6,0,0.251,26.9,HARD_BRAKING,12,0.92,GOOD,RAIN,5.0,0.327,0.53,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000090,VEH-185,31.6,1.73,0.76,4.7,0,0.103,216.8,NONE,17,0.93,UNDER_CONSTRUCTION,FOG,2.0,0.066,0.04,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000091,VEH-192,12.7,2.04,1.03,5.9,0,0.022,162.4,LIGHT,7,0.33,UNDER_CONSTRUCTION,CLOUDY,2.0,0.059,0.09,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000092,VEH-015,83.7,0.86,3.61,6.4,0,0.063,58.9,LIGHT,7,0.44,FAIR,RAIN,5.0,0.046,0.04,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000093,VEH-078,64.8,9.99,69.7,149.5,1,0.943,4.5,CRASH_STOP,4,0.29,UNDER_CONSTRUCTION,FOG,2.0,0.762,0.76,1,HIGH,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000094,VEH-048,46.8,7.43,8.82,13.2,0,0.478,22.7,HARD_BRAKING,13,0.71,UNDER_CONSTRUCTION,CLOUDY,2.0,0.365,0.36,0,LOW,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000095,VEH-025,29.4,2.84,2.13,1.5,0,0.112,44.8,NONE,4,0.31,GOOD,FOG,2.0,0.111,0.0,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000096,VEH-198,34.8,0.27,1.68,0.1,0,0.093,247.0,NORMAL,11,0.68,UNDER_CONSTRUCTION,CLEAR,10.0,0.031,0.01,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000097,VEH-018,92.8,6.23,8.28,0.6,0,0.499,13.7,HARD_BRAKING,9,0.47,FAIR,HEAVY_RAIN,2.0,0.356,0.44,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000098,VEH-183,91.6,6.47,16.78,53.1,0,0.435,27.7,HARD_BRAKING,10,0.6,FAIR,RAIN,5.0,0.349,0.38,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000099,VEH-032,13.9,0.35,1.44,0.6,0,0.047,70.5,LIGHT,7,0.28,POOR,HEAVY_RAIN,2.0,0.023,0.11,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000100,VEH-009,50.7,1.6,1.31,9.9,0,0.048,152.2,NORMAL,8,0.37,FAIR,CLEAR,10.0,0.054,0.15,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000101,VEH-111,63.5,2.09,2.85,12.3,0,0.01,65.3,LIGHT,10,0.52,POOR,CLEAR,10.0,0.064,0.11,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000102,VEH-193,49.2,3.54,0.45,0.8,0,0.015,77.4,NORMAL,13,0.89,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.093,0.15,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000103,VEH-067,54.3,6.73,15.07,10.9,0,0.515,9.1,HARD_BRAKING,14,0.81,FAIR,HEAVY_RAIN,2.0,0.403,0.58,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000104,VEH-098,31.6,9.02,23.21,101.1,1,0.899,1.1,CRASH_STOP,15,0.85,POOR,CLEAR,10.0,0.58,0.79,1,CRITICAL,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000105,VEH-037,23.7,2.57,3.43,1.5,0,0.115,197.8,NONE,12,0.71,FAIR,CLEAR,10.0,0.099,0.06,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000106,VEH-055,29.5,3.48,2.13,3.3,0,0.142,173.7,LIGHT,13,0.69,FAIR,CLOUDY,2.0,0.122,0.08,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000107,VEH-166,67.2,9.64,54.6,85.3,1,0.869,5.7,CRASH_STOP,7,0.38,POOR,RAIN,5.0,0.685,0.87,1,CRITICAL,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000108,VEH-164,38.6,16.03,55.94,156.0,0,0.858,5.1,CRASH_STOP,7,0.27,GOOD,HEAVY_RAIN,2.0,0.849,0.79,1,MEDIUM,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000109,VEH-149,80.1,3.01,3.72,1.5,0,0.08,100.4,LIGHT,13,0.89,UNDER_CONSTRUCTION,CLEAR,10.0,0.104,0.02,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000110,VEH-187,10.0,12.06,74.85,76.1,0,0.733,1.0,CRASH_STOP,6,0.47,UNDER_CONSTRUCTION,RAIN,5.0,0.796,0.93,1,MEDIUM,ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000111,VEH-114,93.8,0.92,3.42,2.8,0,0.015,38.9,LIGHT,11,0.79,GOOD,CLOUDY,2.0,0.06,0.07,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000112,VEH-187,87.2,5.87,14.77,33.0,0,0.356,25.9,HARD_BRAKING,7,0.26,GOOD,CLEAR,10.0,0.315,0.55,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000113,VEH-147,58.3,3.24,1.71,0.4,0,0.006,99.7,NORMAL,14,0.89,UNDER_CONSTRUCTION,FOG,2.0,0.088,0.09,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000114,VEH-194,18.7,5.43,13.19,16.0,0,0.214,17.3,HARD_BRAKING,16,0.94,UNDER_CONSTRUCTION,HEAVY_RAIN,2.0,0.288,0.36,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000115,VEH-137,88.8,4.59,13.62,55.6,0,0.273,29.0,HARD_BRAKING,15,0.84,UNDER_CONSTRUCTION,RAIN,5.0,0.257,0.43,0,MEDIUM,POSSIBLE_COLLISION,SIMULATED V2V TELEMETRY
ACC-REC-000116,VEH-098,45.3,3.39,0.46,9.0,0,0.106,176.8,LIGHT,14,0.72,GOOD,CLEAR,10.0,0.107,0.09,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
ACC-REC-000117,VEH-058,17.4,1.17,2.1,1.9,0,0.047,183.8,LIGHT,14,0.92,GOOD,CLOUDY,2.0,0.046,0.12,0,NONE,NO_ACCIDENT,SIMULATED V2V TELEMETRY
