record_id,pedestrian_id,zone,pedestrian_count,distance_to_curb_m,is_crossing,vehicle_distance_m,vehicle_speed_kmh,time_to_crossing_sec,traffic_signal_state,pedestrian_signal_state,road_width_m,hour,weather,visibility_km,conflict_detected,pedestrian_risk_score,recommended_action,pedestrian_risk_label,data_type
PED-REC-000024,PED-199,Indiranagar 100ft Road,4,9.0,0,103.4,66.9,5.56,RED,WALK,16.0,22,HEAVY_RAIN,7.0,0,0.321,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000025,PED-201,Outer Ring Road Sarjapur Jn,5,7.3,0,102.1,58.3,6.3,YELLOW,DONT_WALK,12.0,13,CLEAR,2.4,0,0.101,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000026,PED-119,Whitefield ITPL Main Gate,26,11.5,0,97.5,61.8,5.68,RED,WALK,32.0,12,FOG,6.1,0,0.508,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000027,PED-178,Indiranagar 100ft Road,18,11.4,0,47.8,53.1,3.24,RED,WALK,16.0,22,CLOUDY,7.5,0,0.599,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000028,PED-221,Whitefield ITPL Main Gate,15,9.7,0,80.9,61.7,4.72,GREEN,DONT_WALK,16.0,14,CLEAR,6.5,0,0.45,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000029,PED-019,MG Road Brigade Jn,22,10.2,0,92.4,30.7,10.84,RED,WALK,16.0,22,HEAVY_RAIN,5.5,0,0.454,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000030,PED-035,Silk Board Junction,9,1.8,1,90.5,36.7,8.88,YELLOW,DONT_WALK,24.0,5,CLOUDY,3.2,0,0.472,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000031,PED-183,Whitefield ITPL Main Gate,17,9.2,0,70.3,30.0,8.44,RED,WALK,12.0,17,HEAVY_RAIN,3.6,0,0.564,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000032,PED-117,MG Road Brigade Jn,10,2.0,1,31.1,58.8,1.9,GREEN,DONT_WALK,12.0,22,CLOUDY,9.6,1,0.9,EMERGENCY_VEHICLE_STOP_AND_HOLD_CROSSING,CRITICAL_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000033,PED-289,Marathahalli Bridge,9,5.4,0,94.4,10.1,33.65,RED,WALK,32.0,2,HEAVY_RAIN,6.0,0,0.081,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000034,PED-095,Bellandur EcoSpace,1,10.5,0,95.8,17.1,20.17,GREEN,DONT_WALK,24.0,10,CLOUDY,2.1,0,0.144,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000035,PED-276,KR Puram Hanging Bridge,27,11.6,0,112.3,38.6,10.47,GREEN,DONT_WALK,16.0,3,CLOUDY,3.9,0,0.618,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000036,PED-131,Indiranagar 100ft Road,14,4.5,0,107.3,74.0,5.22,YELLOW,DONT_WALK,16.0,22,CLEAR,7.2,0,0.502,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000037,PED-136,Outer Ring Road Sarjapur Jn,19,5.4,0,114.3,42.9,9.59,RED,WALK,12.0,1,HEAVY_RAIN,3.7,0,0.512,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000038,PED-236,Indiranagar 100ft Road,3,3.9,0,22.7,41.3,1.98,YELLOW,DONT_WALK,24.0,3,CLOUDY,4.5,0,0.195,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000039,PED-066,KR Puram Hanging Bridge,10,4.9,0,108.3,48.4,8.06,RED,WALK,16.0,16,CLEAR,8.3,0,0.206,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000040,PED-008,Whitefield ITPL Main Gate,27,5.0,0,92.1,67.5,4.91,YELLOW,DONT_WALK,16.0,22,RAIN,8.9,0,0.482,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000041,PED-063,Indiranagar 100ft Road,6,7.2,0,41.7,53.6,2.8,GREEN,DONT_WALK,12.0,17,RAIN,6.9,0,0.123,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000042,PED-012,Indiranagar 100ft Road,26,4.2,0,99.7,11.5,31.21,GREEN,DONT_WALK,32.0,6,FOG,5.9,0,0.563,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000043,PED-169,MG Road Brigade Jn,1,4.0,0,87.8,32.5,9.73,YELLOW,DONT_WALK,24.0,3,RAIN,6.1,0,0.285,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000044,PED-230,Yeshwanthpur TTMC Circle,9,4.4,0,86.9,63.1,4.96,YELLOW,DONT_WALK,12.0,9,FOG,5.3,0,0.293,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000045,PED-261,KR Puram Hanging Bridge,7,6.7,0,105.6,46.2,8.23,GREEN,DONT_WALK,32.0,21,CLEAR,6.6,0,0.332,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000046,PED-141,Koramangala Sony World Jn,10,5.5,0,65.1,74.0,3.17,RED,WALK,24.0,14,HEAVY_RAIN,3.1,0,0.092,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000047,PED-249,Koramangala Sony World Jn,6,2.1,1,8.2,74.5,0.4,GREEN,DONT_WALK,16.0,0,FOG,7.5,1,0.981,EMERGENCY_VEHICLE_STOP_AND_HOLD_CROSSING,CRITICAL_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000048,PED-203,Hebbal Flyover,12,8.2,0,70.4,56.3,4.5,YELLOW,DONT_WALK,12.0,2,HEAVY_RAIN,7.1,0,0.592,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000049,PED-177,Yeshwanthpur TTMC Circle,5,9.7,0,68.5,16.5,14.95,YELLOW,DONT_WALK,32.0,1,FOG,9.1,0,0.275,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000050,PED-036,Silk Board Junction,15,0.0,1,36.6,74.8,1.76,GREEN,DONT_WALK,12.0,19,HEAVY_RAIN,8.6,1,0.926,EMERGENCY_VEHICLE_STOP_AND_HOLD_CROSSING,CRITICAL_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000051,PED-130,Silk Board Junction,3,2.9,1,8.2,42.9,0.69,RED,WALK,12.0,4,FOG,4.2,1,0.919,EMERGENCY_VEHICLE_STOP_AND_HOLD_CROSSING,CRITICAL_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000052,PED-100,MG Road Brigade Jn,22,5.8,0,99.1,64.4,5.54,RED,WALK,24.0,11,HEAVY_RAIN,8.4,0,0.377,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000053,PED-241,Electronic City Toll,3,7.6,0,83.9,61.6,4.9,RED,WALK,12.0,19,CLEAR,8.9,0,0.188,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000054,PED-236,KR Puram Hanging Bridge,12,4.6,0,46.8,38.1,4.42,GREEN,DONT_WALK,12.0,6,CLEAR,4.8,0,0.574,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000055,PED-222,Electronic City Toll,9,1.4,1,110.2,71.9,5.52,RED,WALK,32.0,19,CLEAR,9.0,0,0.741,EXTEND_PEDESTRIAN_CROSSING_PHASE,HIGH_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000056,PED-022,Electronic City Toll,14,5.6,0,42.5,61.6,2.48,YELLOW,DONT_WALK,24.0,1,HEAVY_RAIN,6.7,0,0.582,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000057,PED-182,Hebbal Flyover,10,11.9,0,19.4,60.9,1.15,RED,WALK,32.0,1,CLOUDY,9.2,0,0.123,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000058,PED-098,Whitefield ITPL Main Gate,2,10.7,0,105.3,27.4,13.84,RED,WALK,16.0,2,FOG,3.7,0,0.331,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000059,PED-072,Koramangala Sony World Jn,18,2.8,0,80.3,37.2,7.77,YELLOW,DONT_WALK,32.0,5,CLEAR,2.5,0,0.59,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000060,PED-237,Bellandur EcoSpace,15,7.2,0,78.9,55.3,5.14,RED,WALK,24.0,11,HEAVY_RAIN,8.3,0,0.407,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000061,PED-267,Electronic City Toll,15,6.3,0,90.5,53.2,6.12,RED,WALK,16.0,4,RAIN,7.8,0,0.368,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000062,PED-164,KR Puram Hanging Bridge,28,6.6,0,58.5,43.8,4.81,YELLOW,DONT_WALK,32.0,18,HEAVY_RAIN,3.4,0,0.585,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000063,PED-215,Yeshwanthpur TTMC Circle,13,2.3,1,85.9,53.0,5.83,YELLOW,DONT_WALK,24.0,13,CLEAR,4.9,0,0.752,EXTEND_PEDESTRIAN_CROSSING_PHASE,HIGH_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000064,PED-028,Indiranagar 100ft Road,19,7.8,0,58.4,34.9,6.02,RED,WALK,32.0,1,RAIN,3.6,0,0.491,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000065,PED-255,Whitefield ITPL Main Gate,13,5.2,0,15.3,16.8,3.28,RED,WALK,32.0,5,FOG,7.6,0,0.617,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000066,PED-108,Indiranagar 100ft Road,18,5.1,0,71.1,35.7,7.17,YELLOW,DONT_WALK,12.0,4,HEAVY_RAIN,3.6,0,0.515,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000067,PED-166,Bellandur EcoSpace,28,5.6,0,30.9,67.7,1.64,RED,WALK,24.0,5,CLEAR,9.4,0,0.482,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000068,PED-166,Hebbal Flyover,17,8.1,0,92.3,65.1,5.1,RED,WALK,16.0,3,RAIN,9.6,0,0.438,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000069,PED-084,Silk Board Junction,3,2.6,1,27.5,28.6,3.46,GREEN,DONT_WALK,24.0,21,CLOUDY,8.5,1,0.667,EXTEND_PEDESTRIAN_CROSSING_PHASE,HIGH_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000070,PED-237,Electronic City Toll,22,6.3,0,44.9,58.4,2.77,RED,WALK,24.0,23,HEAVY_RAIN,4.6,0,0.445,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000071,PED-205,Outer Ring Road Sarjapur Jn,15,9.9,0,69.5,35.5,7.05,RED,WALK,16.0,12,FOG,7.8,0,0.534,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000072,PED-095,MG Road Brigade Jn,27,2.3,0,48.5,52.4,3.33,RED,WALK,12.0,11,RAIN,7.7,0,0.614,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000073,PED-140,Silk Board Junction,10,10.4,0,100.0,72.2,4.99,YELLOW,DONT_WALK,16.0,6,FOG,3.7,0,0.096,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000074,PED-201,Bellandur EcoSpace,12,10.1,0,116.0,38.0,10.99,RED,WALK,32.0,20,HEAVY_RAIN,2.2,0,0.442,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000075,PED-199,Silk Board Junction,26,10.7,0,115.5,35.1,11.85,YELLOW,DONT_WALK,16.0,15,RAIN,8.1,0,0.632,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000076,PED-214,Silk Board Junction,14,8.3,0,24.7,17.9,4.97,GREEN,DONT_WALK,24.0,17,CLEAR,7.3,0,0.467,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000077,PED-260,MG Road Brigade Jn,13,10.3,0,79.4,23.5,12.16,YELLOW,DONT_WALK,32.0,23,CLOUDY,5.9,0,0.585,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000078,PED-040,KR Puram Hanging Bridge,8,2.2,1,108.4,34.9,11.18,RED,WALK,16.0,1,CLEAR,9.0,0,0.285,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000079,PED-097,Silk Board Junction,8,7.5,0,7.0,15.1,1.67,RED,WALK,12.0,1,RAIN,7.1,0,0.299,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000080,PED-252,Hebbal Flyover,27,6.1,0,117.5,74.0,5.72,GREEN,DONT_WALK,16.0,1,CLOUDY,5.0,0,0.372,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000081,PED-177,Whitefield ITPL Main Gate,11,5.8,0,64.4,41.0,5.65,YELLOW,DONT_WALK,32.0,1,HEAVY_RAIN,6.4,0,0.441,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000082,PED-020,Bellandur EcoSpace,14,0.2,1,114.0,23.3,17.61,GREEN,DONT_WALK,12.0,18,CLOUDY,2.9,0,0.817,EXTEND_PEDESTRIAN_CROSSING_PHASE,HIGH_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000083,PED-205,KR Puram Hanging Bridge,17,8.6,0,8.6,26.1,1.19,RED,WALK,16.0,6,HEAVY_RAIN,3.8,0,0.392,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000084,PED-095,Hebbal Flyover,21,2.3,1,53.0,62.2,3.07,YELLOW,DONT_WALK,24.0,5,CLOUDY,2.6,1,0.988,EMERGENCY_VEHICLE_STOP_AND_HOLD_CROSSING,CRITICAL_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000085,PED-209,Bellandur EcoSpace,8,0.4,1,103.3,46.2,8.05,YELLOW,DONT_WALK,32.0,4,HEAVY_RAIN,2.5,0,0.368,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000086,PED-006,MG Road Brigade Jn,12,10.0,0,100.1,67.3,5.35,RED,WALK,24.0,22,HEAVY_RAIN,4.1,0,0.489,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000087,PED-089,Yeshwanthpur TTMC Circle,28,4.6,0,77.4,36.3,7.68,GREEN,DONT_WALK,24.0,19,HEAVY_RAIN,8.5,0,0.483,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000088,PED-224,Outer Ring Road Sarjapur Jn,20,9.1,0,67.7,44.0,5.54,GREEN,DONT_WALK,32.0,10,CLOUDY,2.5,0,0.474,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000089,PED-216,Indiranagar 100ft Road,5,2.2,1,55.9,54.3,3.71,GREEN,DONT_WALK,32.0,3,CLEAR,7.9,1,0.869,EMERGENCY_VEHICLE_STOP_AND_HOLD_CROSSING,CRITICAL_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000090,PED-285,Indiranagar 100ft Road,14,5.5,0,26.1,47.1,1.99,RED,WALK,32.0,23,CLEAR,3.1,0,0.562,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000091,PED-240,Electronic City Toll,16,2.9,1,71.5,16.2,15.89,YELLOW,DONT_WALK,24.0,7,FOG,6.5,0,0.542,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000092,PED-218,Silk Board Junction,12,10.5,0,119.1,28.3,15.15,RED,WALK,32.0,2,RAIN,3.6,0,0.557,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000093,PED-132,Yeshwanthpur TTMC Circle,28,3.2,0,83.2,50.9,5.88,GREEN,DONT_WALK,24.0,9,CLEAR,6.9,0,0.602,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000094,PED-091,KR Puram Hanging Bridge,22,5.8,0,117.5,15.2,27.83,YELLOW,DONT_WALK,32.0,13,CLEAR,2.7,0,0.434,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000095,PED-102,Indiranagar 100ft Road,21,3.5,0,56.6,35.4,5.76,RED,WALK,32.0,18,CLOUDY,4.3,0,0.603,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000096,PED-013,Indiranagar 100ft Road,8,3.2,1,48.1,11.7,14.8,YELLOW,DONT_WALK,16.0,17,FOG,6.0,0,0.336,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000097,PED-039,MG Road Brigade Jn,21,9.5,0,116.6,73.6,5.7,YELLOW,DONT_WALK,24.0,8,CLEAR,3.1,0,0.515,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000098,PED-224,Bellandur EcoSpace,5,11.7,0,38.9,14.0,10.0,GREEN,DONT_WALK,32.0,13,FOG,7.0,0,0.24,STANDARD_SIGNAL_PHASING,LOW_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000099,PED-099,Marathahalli Bridge,20,7.7,0,79.2,40.1,7.11,GREEN,DONT_WALK,16.0,18,FOG,6.9,0,0.385,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
PED-REC-000100,PED-085,Marathahalli Bridge,15,9.4,0,42.4,46.9,3.25,RED,WALK,12.0,1,HEAVY_RAIN,4.4,0,0.43,ADAPTIVE_CROSSING_ALERT,MEDIUM_RISK,SYNTHETIC PEDESTRIAN TELEMETRY
