zone,ward,ward_name,street_id,street_name,landmark,segment_id,total_length_m,contractor_name,contractor_registration_no,contractor_phone,work_name,sanctioned_amount,sanctioned_year,work_year,work_type,other_work_type,job_work_code,work_order_no,work_order_date,inspection_date,source_pdf
EAST,31,Kushal Nagara,W0158,,hanifnia mosque,31/S-W0158/S075256,21.98,KRIDL,,9980406048.0,Improvements to roads and drain of kushal nagara and surrounsings in ward 31,1000000.0,,Tender,WorkDetails,,031-14-000049,10/2014-15,01/07/2014,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0150,,hanifia mosque,31/S-W0150/S075402,20.34,KRIDL,,9980406048.0,Improvements to roads and drain of kushal nagara and surrounsings in ward 31,1000000.0,,Tender,WorkDetails,,031-14-000049,10/2014-15,01/07/2014,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0156,,hanifia mosque,31/S-W0156/S075445,23.15,KRIDL,,9980406048.0,Improvements to roads and drain of kushal nagara and surrounsings in ward 31,1000000.0,,Tender,WorkDetails,,031-14-000049,10/2014-15,01/07/2014,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0148,,hanifia mosque,31/S-W0148/S075524,20.34,KRIDL,,9980406048.0,Improvements to roads and drain of kushal nagara and surrounsings in ward 31,1000000.0,,Tender,WorkDetails,,031-14-000049,10/2014-15,01/07/2014,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0154,,hanifia mosque,31/S-W0154/S075601,19.4,KRIDL,,9980406048.0,Improvements to roads and drain of kushal nagara and surrounsings in ward 31,1000000.0,,Tender,WorkDetails,,031-14-000049,10/2014-15,01/07/2014,07/02/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0182,Nehru Street,nagawara road total gas staion,31/S-W0182/S081131,53.92,B R Pradeep,,9740744655.0,construction of rcc drain and road Improvements to nehru and shastri street in ward no 31,1000000.0,,Tender,WorkDetails,,031-14-000013,162/2013-14,28/12/2013,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0010,,Ashrafia mosque,31/S-W0010/S042921,134.32,R Subramani,,9845015885.0,Improvements to roads at Ashrafiya Mosque area in Ward No.31,1500000.0,2014.0,2014 - 2015,,,031-15-000005,153,,14/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0052,,sayeeda masjid,31/S-W0052/S043531,79.55,R Subramani,,9845015885.0,"Improvements to roads of 1st, 2nd, 3rd cross Rama Tent road in surrounding area in Ward No.31.",1000000.0,2014.0,2014 - 2015,,,031-15-000002,155,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0321,,temple at corner,31/S-W0321/S044100,58.84,Somanna,,9480264442.0,Providing and asphalting to shampura main road and surroundings in ward no 31,1500000.0,2013.0,2013 - 2014,,,031-14-000006,169,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0319,11th Crs Lakshmi Sagar Lyt,Priya Bar,31/S-W0319/S044348,86.5,Somanna,,9480264442.0,Providing asphalting to shampura main road and surroundings in ward no 31,1500000.0,,2013 - 2014,,,031-14-000006,169,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0215,,Achala matha,31/S-W0215/S044651,86.81,Somanna,,9480264442.0,Providing asphalting to shampura main road and surroundings in ward no 31,1500000.0,2013.0,2013 - 2014,,,031-14-000006,169,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0217,,achala matha,31/S-W0217/S044755,27.28,Somanna,,9480264442.0,Providing asphalting to shampura main road and surroundings in ward no 31,1500000.0,2013.0,2013 - 2014,,,031-14-000006,169,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0213,,shafi and philip house,31/S-W0213/S044849,34.07,Somanna,,9480264442.0,Providing asphalting to shampura main road and surroundings in ward no 31,1500000.0,2013.0,2013 - 2014,,,031-14-000006,169,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0013,,SWD,31/S-W0013/S045022,72.66,Achutha Murthy,,9980054466.0,Improvements to roads and drains at Kasturba nagar in Ward No.31,2000000.0,2014.0,2014 - 2015,,,031-15-000004,186/14-15,27/01/2015,14/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0011,,SWD,31/S-W0011/S045340,27.9,Achutha Murthy,,9980054466.0,Improvements to roads and drains at Kasturba nagar in Ward No.31,2000000.0,2014.0,2014 - 2015,,,031-15-000004,186/14-15,27/01/2015,14/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0004,,SWD,31/S-W0004/S045607,25.31,Achutha Murthy,,9980054466.0,Improvements to roads and drains at Kasturba nagar in Ward No.31,2000000.0,2014.0,2014 - 2015,,,031-15-000004,186/14-15,27/01/2015,14/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0168,,doddanna lane,31/S-W0168/S050550,219.58,Tousif,,9886057553.0,Providing asphalting to roads of asnwer layout and surroundings in ward no 31,1000000.0,2013.0,2013 - 2014,,,031-13-000001,143/14-15,,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0180,,HBR layout anganawadi,31/S-W0180/S050748,122.26,Tousif,,9886057553.0,Providing asphalting to roads of Anwer layout and surroundings in ward no 31,1000000.0,2013.0,2013 - 2014,,,031-13-000001,143/14-15,,30/06/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0170,,Doddanna lane 2nd main,31/S-W0170/S050854,223.62,Somanna,,9480264442.0,Providing asphalting to shampura main road and surroundings in ward no 31,1500000.0,2013.0,2013 - 2014,,,031-14-000006,169,,30/06/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0105,,oil factory compound,31/S-W0105/S050457,100.28,Renu Kumar,,9738931758.0,Construction of RCC drain at Kasturba nagar parallel to SWD in ward No 31,1000000.0,,Tender,WorkDetails,,031-13-000009,25/2013-14,,30/06/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0070,,AMC road khan clinic,31/S-W0070/S084010,42.29,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting toa road and improvements to footpath and drain at Kushal Nagara main rand crose in ward no 95",9000000.0,2008.0,Tender,WorkDetails,,,27/2008-09,27/05/2009,21/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0177,,national gym,31/S-W0177/S070125,80.26,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0183,,national gym,31/S-W0183/S070751,80.73,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0185,,Canara bank ATM,31/S-W0185/S070852,79.96,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0189,,Canara bank ATM,31/S-W0189/S070951,83.34,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0193,Vinayaka Lyt 2nd Crs,Canara bank ATM,31/S-W0193/S071107,86.12,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,"W0179, W0183, W0131,","NA, Vinayaka Lyt 3rd Crs",temple,31/C-W0179/S071243,110.38,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,"W0197, W0137, W0143,","Vinayaka Lyt 1st Crs, NA",Anwer sharif house,31/C-W0197/S071357,66.21,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0049,,transformer,31/S-W0049/S071936,126.19,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,10/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0133,Vinayaka Lyt 4th Crs,shakeel house,31/S-W0133/S072335,77.21,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0173,,Khamar house,31/S-W0173/S072437,80.37,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0175,,2nd cross,31/S-W0175/S072535,78.53,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0187,,national chicken shop,31/S-W0187/S072622,56.07,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0191,,canara ATM,31/S-W0191/S072720,57.91,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0195,,canara bank atm,31/S-W0195/S072811,46.58,B K Dorai,,9880531598.0,Providing cement concrete to Anwar layout in ward no 38 (old ward No 95),8000000.0,2009.0,Tender,WorkDetails,,,64/2009-10,03/12/2009,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0143,,BDA park,31/S-W0143/S095802,313.78,P Vishwanath,,9448502747.0,Providing cement concrete road to Limra mosque area and surroundings in ward no 31,1000000.0,2011.0,2011 - 2012,,,031-11-000008,94/2011-12,10/05/2011,01/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,"W0251, W0143, W0160,",Maheshwaramma Temple,tamil sngha school,31/C-W0251/S103209,209.75,Venkatesh,,9446923658.0,Construction of RCC drain at P&T colony in ward no 31,1000000.0,2011.0,2011 - 2012,,,031-11-000075,443/2011-12,20/12/2011,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0261,,milk dairy,31/S-W0261/S103816,86.41,Pradeep Kumar,,9738931746.0,Providing cement concrete to cross roads of P&T colony in ward no 31,1000000.0,2011.0,2011 - 2012,,,031-11-000006,89/2011-12,10/05/2011,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0259,Ambedkar Nagar Slum,milk dairy,31/S-W0259/S104146,85.49,Pradeep Kumar,,9738931746.0,Providing cement concrete to cross roads of P&T colony in ward no 31,1000000.0,2011.0,2011 - 2012,,,031-11-000006,89/2011-12,10/05/2011,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0263,,Milk Dairy,31/S-W0263/S110809,87.69,S.K.Haroon,,9341246488.0,Construction of RCC drain at 1st cross P & T colony in Ward No.31,1000000.0,2011.0,2011 - 2012,,,031-11-000005,219/2011-12,01/06/2011,27/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0208,,Nobel school,31/S-W0208/S111340,133.79,S.K.Haroon,,9341246488.0,Construction of RCC drain at 1st cross P & T colony in Ward No.31,1000000.0,2011.0,2011 - 2012,,,031-11-000005,219/2011-12,01/06/2011,06/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0062,,K G Halli Police station,31/S-W0062/S031016,253.66,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,10/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0068,,K G Halli police station,31/S-W0068/S031538,231.0,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,21/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0069,,Khans clinic,31/S-W0069/S031738,161.01,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,10/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0064,,irshad house,31/S-W0064/S031844,34.8,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,21/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0066,,Irhsad house,31/S-W0066/S031945,41.61,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,21/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0060,,Hanifia mosque,31/S-W0060/S032046,104.22,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,21/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,W0058,,hanifia mosque,31/S-W0058/S032200,76.55,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,21/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,"W0089, W0169, W0054,","NA, 15th Crs",income tax layout,31/C-W0089/S032354,69.93,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,10/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
EAST,31,Kushal Nagara,"W0054, W0138, W0052,","NA, 2nd Crs, 1st Crs",SWD,31/C-W0054/S032511,101.43,L Gangadhar,,9341260169.0,"Providing cement concrete, asphalting to aroads and improvement to footpath and drains at kushalnagara main and cross roads in ward no 95",,,Tender,WorkDetails,,,27/2008-09,27/05/2009,10/07/2015,c4754117-e01c-42ca-8d4e-886cc011840c.txt
WEST,128,Nagarabhavi,"W0131, W0137, W0150,","4th Main Rd, Vidya Giri Lyt,",$th Main Road,128/C-W0131/S011554,234.69,"Technical maneager (west) bbmp division, KRIDL, bangalore",,1111111111.0,"Improvements and providing asphalt 2Nd,6Th and 7Th cross roads new income tax layout in ward no-128",1200000.0,2013.0,2013 - 2014,Asphalting,,,EE(GRN)/AE/TN/WO/448/2012-,20/03/2013,,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0131, W0137, W0168,","4th Main Rd, Vidya Giri Lyt,",Poornima Travels,128/C-W0131/S013904,228.25,"Technical maneager (west) bbmp division, KRIDL, bangalore",,1111111111.0,"Improvements and providing asphalt 2Nd,6Th and 7Th cross roads new income tax layout in ward no-128",1200000.0,2013.0,2013 - 2014,Asphalting,,,EE(GRN)/AE/TN/WO/448/2012-,20/03/2013,,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0241, W0251, W0247,","16th Crs, 12th Crs, 13th Crs,",siddaganga school,128/C-W0241/S032203,163.52,"Technical maneager (west) bbmp division, KRIDL, bangalore",,1234567890.0,Improvements to damaged footpath and drani due to havvy rain in Chandra layout 1st stage 1st phase in ward no- 128,1180000.0,2011.0,2011 - 2012,Others,Improvements to damaged,128-11-000093,EE(GRN)/AE/TN/WO/500/2012-,19/11/2011,,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0131, W0137, W0150,","4th Main Rd, Vidya Giri Lyt,",vidya giri lyt,128/C-W0131/S043226,167.89,"Technical maneager (west) bbmp division, KRIDL, bangalore",,1234567890.0,"Providing coverding slabs to road daid drain in 1st , 1nd and 3rd crosses of income layout in ward no-128",1650000.0,2011.0,2011 - 2012,Others,,128-11-000037,EE(GRN)/AE/TN/WO/77/2011-12,13/05/2011,04/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0161, W0240, W0216,","13th Crs, NA, 12th Crs",Siddaganga School,128/C-W0161/S044049,406.6,"Teahnical manager (west) BBMP division, KRIDL, BENGALORE",,1111111111.0,nImprovements and asphalting to11th 13th 14th cross roads ofchandra layout2nd stage 1st phase in ward o-128,1999000.0,2011.0,2011 - 2012,Resurfacing,,128-12-000017,EE(GRN)/AE/WO/507/2011-12,19/11/2011,09/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0240, W0216, W0159","NA, 13th Crs",simraan tel stall,128/C-W0240/S102848,118.4,"Teahnical manager (west) BBMP division, KRIDL, BENGALORE",,1111111111.0,Improvements and asphalting to11th 13th 14th cross roads ofchandra layout2nd stage 1st phase in ward o-128,1999000.0,2011.0,2011 - 2012,Asphalting,,128-12-000017,EE(GRN)/AE/WO/507/2011-12,19/11/2011,09/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0216, W0226, W0173","NA, 14th Crs",Simraan Tea Stall,128/C-W0216/S103400,119.38,"Teahnical manager (west) BBMP division, KRIDL, BENGALORE",,1111111111.0,Improvements and asphalting to11th 13th 14th cross roads ofchandra layout2nd stage 1st phase in ward o-128,1999000.0,2011.0,2011 - 2012,Asphalting,,128-12-000017,EE(GRN)/AE/WO/507/2011-12,19/11/2011,09/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,W0032,"2nd Main, Hoysala Nagar",Sir Raghavendra Bakery,128/S-W0032/S103808,299.95,"Teahnical manager (west) BBMP division, KRIDL, BENGALORE",,1111111111.0,Providing covering slabs to road side drain in missing bits of coconut garden in ward no- 128,1500000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000052,EE(GRN)/AE/WO/52/2011-12,11/05/2011,03/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0032, W0042, W0033,","2nd Main, Hoysala Nagar, 1st",Sri Balmuri Shakti Ganapathi,128/C-W0032/S105347,207.32,"Teahnical manager (west) BBMP division, KRIDL, BENGALORE",,1111111111.0,Providing covering slabs to road side drain in missing bits of coconut garden in ward no- 128,1500000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000052,EE(GRN)/AE/WO/52/2011-12,11/05/2011,03/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0032, W0037","2nd Main, Hoysala Nagar,",Synergy Health Care,128/C-W0032/S105844,94.54,"Teahnical manager (west) BBMP division, KRIDL, BENGALORE",,1111111111.0,Providing covering slabs to road side drain in missing bits of coconut garden in ward no- 128,1500000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000052,EE(GRN)/AE/WO/52/2011-12,11/05/2011,03/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0032, W0041","2nd Main, Hoysala Nagar,",Synergy Health Care,128/C-W0032/S110441,83.71,"Teahnical manager (west) BBMP division, KRIDL, BENGALORE",,1111111111.0,Providing covering slabs to road side drain in missing bits of coconut garden in ward no- 128,1500000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000052,EE(GRN)/AE/WO/52/2011-12,11/05/2011,03/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0121, W0131, W0184,","5th Main Rd, 4th Main Rd,",N R C residency,128/C-W0121/S111117,244.59,"Teahnical manager (west) BBMP division, KRIDL bengalore",,1111111111.0,Providing covering slabs to road side drain in4th 5th 6th 7th and 8th cross of vidya giri layout in ward no-128,2322000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000036,EE(GRN)/AE/WO/73/2011-12,13/05/2011,,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0190, W0131, W0129","3rd Crs, 4th Main Rd, Vidya",N R C residency,128/C-W0190/S112419,85.32,"Teahnical manager (west) BBMP division, KRIDL bengalore",,1111111111.0,Providing covering slabs to road side drain in4th 5th 6th 7th and 8th cross of vidya giri layout in ward no-128,2322000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000036,EE(GRN)/AE/WO/73/2011-12,13/05/2011,03/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0131, W0129, W0198","4th Main Rd, Vidya Giri Lyt,",N R C residency,128/C-W0131/S112909,75.28,"Teahnical manager (west) BBMP division, KRIDL bengalore",,1111111111.0,Providing covering slabs to road side drain in4th 5th 6th 7th and 8th cross of vidya giri layout in ward no-128,2322000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000036,EE(GRN)/AE/WO/73/2011-12,13/05/2011,04/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
WEST,128,Nagarabhavi,"W0031, W0048, W0030,","NA, 3rd Crs, B D A New Rd,",NVS Enterprises,128/C-W0031/S113536,280.18,"Teahnical manager (west) BBMP division, KRIDL bengalore",,1111111111.0,Providing resurfacing to bed roads in manasa nagar in ward no-128,1900000.0,2011.0,2011 - 2012,Drain Maintenance,,128-11-000054,EE(GRN)/AE/WO/53/2011-12,11/05/2011,04/09/2015,7fd1ecdc-f6fa-4ff9-b337-9746bde4bbfb.txt
