record_id,timestamp,hour,day_of_week,is_weekend,zone_id,zone_name,latitude,longitude,road_name,road_condition_score,vehicle_density,vehicle_count,average_speed_kmh,congestion_level,queue_length_meters,traffic_signal_state,weather_condition,visibility_km,accident_present,construction_present,pedestrian_density,noise_level_db,emergency_vehicle_present,data_source_type
TRF-000011,2026-03-26 13:14:00,13,3,0,BLR-KORAM-09,Koramangala Sony World Jn,12.93555323487383,77.62342045893038,100 Feet Intermediate Ring Road,0.77,0.796,229,10.3,CRITICAL,1794.7,GREEN,CLOUDY,10.0,0,0,0.43,87.1,0,SYNTHETIC / SIMULATION DATA
TRF-000012,2026-01-07 11:05:00,11,2,0,BLR-YESHW-12,Yeshwanthpur TTMC Circle,13.024104846598883,77.55187198896958,Tumkur Road / Subedarchatram Rd,0.72,0.99,290,5.1,CRITICAL,1063.5,GREEN,CLOUDY,10.0,0,0,0.8,95.5,0,SYNTHETIC / SIMULATION DATA
TRF-000013,2026-02-07 01:14:00,1,5,1,BLR-HEBBL-04,Hebbal Flyover,13.03724669014541,77.59599462533568,Airport Road / Bellary Road,0.79,0.322,86,24.9,LOW,61.4,GREEN,CLEAR,10.0,0,0,0.2,80.4,0,SYNTHETIC / SIMULATION DATA
TRF-000014,2026-02-10 20:00:00,20,1,0,BLR-KRPUR-03,KR Puram Hanging Bridge,12.996573051104736,77.69361426201608,Old Madras Road / ORR,0.57,0.99,269,7.3,CRITICAL,782.9,GREEN,CLEAR,10.0,0,0,0.92,96.1,1,SYNTHETIC / SIMULATION DATA
TRF-000015,2026-02-06 23:49:00,23,4,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.92138169075797,77.64822307329362,Sarjapur-ORR Junction,0.68,0.303,97,13.9,HIGH,501.6,YELLOW,CLEAR,10.0,0,0,0.31,85.5,0,SYNTHETIC / SIMULATION DATA
TRF-000016,2026-01-15 02:09:00,2,3,0,BLR-HEBBL-04,Hebbal Flyover,13.035831313987973,77.59840537018137,Airport Road / Bellary Road,0.78,0.477,136,22.3,MEDIUM,117.1,RED,CLEAR,10.0,0,0,0.58,83.4,0,SYNTHETIC / SIMULATION DATA
TRF-000017,2026-01-07 04:27:00,4,2,0,BLR-MGROAD-11,MG Road Brigade Jn,12.974417036797695,77.60746476720315,Mahatma Gandhi Road,0.87,0.381,121,18.9,HIGH,448.5,GREEN,RAIN,6.0,0,0,0.45,83.9,0,SYNTHETIC / SIMULATION DATA
TRF-000018,2026-02-06 00:36:00,0,4,0,BLR-KRPUR-03,KR Puram Hanging Bridge,12.996729826281467,77.69199603533986,Old Madras Road / ORR,0.56,0.32,84,18.2,HIGH,724.3,RED,CLOUDY,10.0,0,0,0.2,85.9,0,SYNTHETIC / SIMULATION DATA
TRF-000019,2026-01-23 05:38:00,5,4,0,BLR-BELLAN-06,Bellandur EcoSpace,12.927755720015709,77.67473716445757,Outer Ring Road IT Corridor,0.64,0.401,114,14.1,HIGH,594.7,YELLOW,CLEAR,10.0,0,1,0.52,87.5,0,SYNTHETIC / SIMULATION DATA
TRF-000020,2026-01-10 17:49:00,17,5,1,BLR-YESHW-12,Yeshwanthpur TTMC Circle,13.024337137789237,77.55421739235749,Tumkur Road / Subedarchatram Rd,0.67,0.912,259,7.4,CRITICAL,1077.2,GREEN,CLEAR,10.0,0,0,0.61,95.0,0,SYNTHETIC / SIMULATION DATA
TRF-000021,2026-01-31 08:39:00,8,5,1,BLR-KRPUR-03,KR Puram Hanging Bridge,12.99767686393805,77.69281010038698,Old Madras Road / ORR,0.59,0.938,270,6.4,CRITICAL,1476.2,GREEN,CLOUDY,10.0,0,0,0.75,93.7,1,SYNTHETIC / SIMULATION DATA
TRF-000022,2026-01-04 19:22:00,19,6,1,BLR-MARATH-05,Marathahalli Bridge,12.957897910444574,77.70280305529027,Outer Ring Road,0.67,0.99,289,4.6,CRITICAL,1093.6,GREEN,CLEAR,10.0,0,0,0.78,96.8,0,SYNTHETIC / SIMULATION DATA
TRF-000023,2026-01-15 18:59:00,18,3,0,BLR-KRPUR-03,KR Puram Hanging Bridge,12.997730166890388,77.69075489843067,Old Madras Road / ORR,0.6,0.99,285,6.6,CRITICAL,1560.6,RED,RAIN,6.0,0,0,0.76,94.4,0,SYNTHETIC / SIMULATION DATA
TRF-000024,2026-01-19 03:58:00,3,0,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.91899871353744,77.64992459874878,Sarjapur-ORR Junction,0.66,0.506,153,11.6,CRITICAL,726.0,RED,CLEAR,10.0,0,0,0.61,87.7,0,SYNTHETIC / SIMULATION DATA
TRF-000025,2026-03-27 11:47:00,11,4,0,BLR-SILK-01,Silk Board Junction,12.916062583136117,77.62539801893165,Hosur Road / Outer Ring Road,0.62,0.99,267,5.2,CRITICAL,1781.9,RED,CLEAR,10.0,0,0,0.89,98.5,0,SYNTHETIC / SIMULATION DATA
TRF-000026,2026-01-05 00:57:00,0,0,0,BLR-YESHW-12,Yeshwanthpur TTMC Circle,13.023055662580234,77.55429206111802,Tumkur Road / Subedarchatram Rd,0.74,0.31,96,20.4,HIGH,637.8,GREEN,CLEAR,10.0,0,0,0.19,84.0,0,SYNTHETIC / SIMULATION DATA
TRF-000027,2026-01-28 08:03:00,8,2,0,BLR-KORAM-09,Koramangala Sony World Jn,12.934824300675032,77.62583490067722,100 Feet Intermediate Ring Road,0.78,0.99,274,8.0,CRITICAL,1309.9,RED,CLEAR,10.0,0,0,0.88,89.7,0,SYNTHETIC / SIMULATION DATA
TRF-000028,2026-01-20 03:09:00,3,1,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.98636180803966,77.73193176342306,ITPL Main Road,0.73,0.431,115,20.1,HIGH,526.9,RED,CLOUDY,10.0,0,0,0.54,79.0,0,SYNTHETIC / SIMULATION DATA
TRF-000029,2026-03-16 11:52:00,11,0,0,BLR-HEBBL-04,Hebbal Flyover,13.036673383661997,77.59653591386956,Airport Road / Bellary Road,0.81,0.99,268,7.4,CRITICAL,750.8,YELLOW,CLOUDY,10.0,0,0,0.76,94.3,0,SYNTHETIC / SIMULATION DATA
TRF-000030,2026-01-14 10:22:00,10,2,0,BLR-MGROAD-11,MG Road Brigade Jn,12.976993345389406,77.60642584730188,Mahatma Gandhi Road,0.93,0.99,289,8.6,CRITICAL,817.2,RED,CLOUDY,10.0,0,0,0.82,90.9,0,SYNTHETIC / SIMULATION DATA
TRF-000031,2026-03-02 18:20:00,18,0,0,BLR-KORAM-09,Koramangala Sony World Jn,12.936645979639133,77.62430027902899,100 Feet Intermediate Ring Road,0.83,0.99,292,6.4,CRITICAL,1186.8,GREEN,FOG,1.5,0,0,1.0,91.3,0,SYNTHETIC / SIMULATION DATA
TRF-000032,2026-03-18 10:42:00,10,2,0,BLR-MGROAD-11,MG Road Brigade Jn,12.974525045918913,77.6073757992492,Mahatma Gandhi Road,0.92,0.99,277,8.1,CRITICAL,1002.1,RED,CLEAR,10.0,0,0,0.74,93.5,0,SYNTHETIC / SIMULATION DATA
TRF-000033,2026-01-06 20:18:00,20,1,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.98620791893023,77.73317096662973,ITPL Main Road,0.73,0.99,275,6.2,CRITICAL,1616.2,RED,CLEAR,10.0,0,0,0.67,92.0,0,SYNTHETIC / SIMULATION DATA
TRF-000034,2026-02-05 11:56:00,11,3,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.984960178924814,77.73126956059693,ITPL Main Road,0.71,0.99,287,8.3,CRITICAL,942.6,RED,CLEAR,10.0,0,1,0.71,90.6,0,SYNTHETIC / SIMULATION DATA
TRF-000035,2026-02-26 15:20:00,15,3,0,BLR-KORAM-09,Koramangala Sony World Jn,12.934550002192296,77.626018559944,100 Feet Intermediate Ring Road,0.78,0.687,195,13.9,HIGH,383.6,RED,CLEAR,10.0,0,0,0.47,85.6,0,SYNTHETIC / SIMULATION DATA
TRF-000036,2026-03-28 13:56:00,13,5,1,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.985289133214932,77.73275691538514,ITPL Main Road,0.76,0.526,132,19.1,HIGH,370.8,YELLOW,CLEAR,10.0,0,1,0.7,79.7,1,SYNTHETIC / SIMULATION DATA
TRF-000037,2026-01-22 17:06:00,17,3,0,BLR-KRPUR-03,KR Puram Hanging Bridge,13.000058883092137,77.69103239499863,Old Madras Road / ORR,0.55,0.99,292,4.6,CRITICAL,1469.4,GREEN,CLEAR,10.0,0,0,0.92,94.5,0,SYNTHETIC / SIMULATION DATA
TRF-000038,2026-01-29 09:28:00,9,3,0,BLR-INDIRA-10,Indiranagar 100ft Road,12.973122111854584,77.6423849088664,100ft Road CMH Junction,0.86,0.99,274,10.8,CRITICAL,918.2,GREEN,CLOUDY,10.0,0,0,0.89,87.7,0,SYNTHETIC / SIMULATION DATA
TRF-000039,2026-01-04 17:43:00,17,6,1,BLR-BELLAN-06,Bellandur EcoSpace,12.926829234574825,77.67594194858002,Outer Ring Road IT Corridor,0.7,0.99,264,5.1,CRITICAL,1075.4,GREEN,CLEAR,10.0,0,0,0.89,98.0,0,SYNTHETIC / SIMULATION DATA
TRF-000040,2026-03-29 21:06:00,21,6,1,BLR-MGROAD-11,MG Road Brigade Jn,12.975403208000776,77.60760190512731,Mahatma Gandhi Road,0.91,0.99,279,8.7,CRITICAL,1211.4,GREEN,CLEAR,10.0,0,0,0.61,95.3,0,SYNTHETIC / SIMULATION DATA
TRF-000041,2026-03-02 19:40:00,19,0,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.988092250311109,77.72974245184783,ITPL Main Road,0.77,0.99,272,6.6,CRITICAL,933.3,GREEN,CLEAR,10.0,0,0,0.96,88.9,1,SYNTHETIC / SIMULATION DATA
TRF-000042,2026-02-14 11:18:00,11,5,1,BLR-KORAM-09,Koramangala Sony World Jn,12.93541389182004,77.62387502957658,100 Feet Intermediate Ring Road,0.85,0.98,279,8.2,CRITICAL,1193.0,RED,CLOUDY,10.0,0,0,0.57,91.9,0,SYNTHETIC / SIMULATION DATA
TRF-000043,2026-02-20 02:20:00,2,4,0,BLR-BELLAN-06,Bellandur EcoSpace,12.925936794348852,77.67709834000436,Outer Ring Road IT Corridor,0.73,0.449,119,11.6,CRITICAL,832.7,RED,CLEAR,10.0,0,0,0.52,88.0,0,SYNTHETIC / SIMULATION DATA
TRF-000044,2026-02-17 18:05:00,18,1,0,BLR-INDIRA-10,Indiranagar 100ft Road,12.973676358459183,77.64175147862042,100ft Road CMH Junction,0.88,0.99,268,8.2,CRITICAL,1097.0,RED,CLEAR,10.0,0,0,0.68,87.0,0,SYNTHETIC / SIMULATION DATA
TRF-000045,2026-01-10 08:06:00,8,5,1,BLR-SILK-01,Silk Board Junction,12.918345804073024,77.62240690802781,Hosur Road / Outer Ring Road,0.68,0.99,276,4.2,CRITICAL,1762.0,RED,CLEAR,10.0,0,0,0.5,99.0,0,SYNTHETIC / SIMULATION DATA
TRF-000046,2026-03-28 09:23:00,9,5,1,BLR-MARATH-05,Marathahalli Bridge,12.958860125041866,77.70032152097727,Outer Ring Road,0.71,0.955,269,8.2,CRITICAL,1366.9,GREEN,CLEAR,10.0,0,0,0.68,93.5,0,SYNTHETIC / SIMULATION DATA
TRF-000047,2026-02-25 11:45:00,11,2,0,BLR-YESHW-12,Yeshwanthpur TTMC Circle,13.022965037156125,77.55182590493821,Tumkur Road / Subedarchatram Rd,0.74,0.99,282,5.9,CRITICAL,1426.5,RED,CLEAR,10.0,0,1,0.58,94.0,0,SYNTHETIC / SIMULATION DATA
TRF-000048,2026-03-05 23:41:00,23,3,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.9207065246386,77.64628563934743,Sarjapur-ORR Junction,0.63,0.251,63,17.6,HIGH,600.0,GREEN,CLEAR,10.0,0,0,0.35,85.2,0,SYNTHETIC / SIMULATION DATA
TRF-000049,2026-01-28 23:59:00,23,2,0,BLR-INDIRA-10,Indiranagar 100ft Road,12.97345769155717,77.64213813569314,100ft Road CMH Junction,0.86,0.232,59,27.7,LOW,61.6,RED,CLOUDY,10.0,0,0,0.35,75.9,0,SYNTHETIC / SIMULATION DATA
TRF-000050,2026-01-03 08:30:00,8,5,1,BLR-ECITY-02,Electronic City Toll,12.845806037957734,77.66186429115172,Hosur Elevated Expressway,0.85,0.901,264,15.6,CRITICAL,1745.9,YELLOW,CLEAR,10.0,0,0,0.49,87.0,0,SYNTHETIC / SIMULATION DATA
TRF-000051,2026-02-23 06:40:00,6,0,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.985901809019255,77.73244199908822,ITPL Main Road,0.7,0.303,71,22.9,LOW,54.9,RED,CLOUDY,10.0,0,0,0.32,78.5,0,SYNTHETIC / SIMULATION DATA
TRF-000052,2026-01-09 00:22:00,0,4,0,BLR-BELLAN-06,Bellandur EcoSpace,12.927025772616222,77.67670163496858,Outer Ring Road IT Corridor,0.71,0.304,94,14.3,HIGH,555.8,YELLOW,CLEAR,10.0,0,0,0.33,85.7,0,SYNTHETIC / SIMULATION DATA
TRF-000053,2026-01-19 12:40:00,12,0,0,BLR-MARATH-05,Marathahalli Bridge,12.956531962749159,77.69999880263782,Outer Ring Road,0.73,0.916,255,9.3,CRITICAL,1233.2,RED,CLEAR,10.0,0,0,0.68,92.2,1,SYNTHETIC / SIMULATION DATA
TRF-000054,2026-01-11 07:51:00,7,6,1,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.918934344052989,77.64968747259972,Sarjapur-ORR Junction,0.66,0.234,54,10.9,CRITICAL,1488.3,GREEN,HEAVY_RAIN,3.0,0,0,0.5,84.3,0,SYNTHETIC / SIMULATION DATA
TRF-000055,2026-03-22 00:55:00,0,6,1,BLR-KRPUR-03,KR Puram Hanging Bridge,12.99883976301222,77.6940610423788,Old Madras Road / ORR,0.59,0.26,82,16.2,HIGH,486.0,GREEN,RAIN,6.0,0,1,0.42,87.1,0,SYNTHETIC / SIMULATION DATA
TRF-000056,2026-02-14 02:03:00,2,5,1,BLR-BELLAN-06,Bellandur EcoSpace,12.92697882060626,77.6770209115241,Outer Ring Road IT Corridor,0.71,0.403,109,13.1,HIGH,478.7,RED,CLEAR,10.0,0,0,0.27,90.1,0,SYNTHETIC / SIMULATION DATA
TRF-000057,2026-02-05 03:24:00,3,3,0,BLR-MGROAD-11,MG Road Brigade Jn,12.975427712297897,77.60748977531028,Mahatma Gandhi Road,0.89,0.426,108,19.4,HIGH,364.8,GREEN,CLOUDY,10.0,0,0,0.57,83.9,0,SYNTHETIC / SIMULATION DATA
TRF-000058,2026-03-01 14:23:00,14,6,1,BLR-KRPUR-03,KR Puram Hanging Bridge,12.999074869700893,77.69363760723733,Old Madras Road / ORR,0.64,0.706,190,9.7,CRITICAL,1462.0,GREEN,CLEAR,10.0,0,0,0.65,91.4,0,SYNTHETIC / SIMULATION DATA
TRF-000059,2026-01-04 06:25:00,6,6,1,BLR-INDIRA-10,Indiranagar 100ft Road,12.971097864320976,77.63931578899759,100ft Road CMH Junction,0.83,0.239,80,26.9,LOW,35.0,RED,CLEAR,10.0,0,0,0.41,74.5,0,SYNTHETIC / SIMULATION DATA
TRF-000060,2026-01-06 02:35:00,2,1,0,BLR-MARATH-05,Marathahalli Bridge,12.958551316064094,77.69967247088051,Outer Ring Road,0.7,0.425,111,16.8,HIGH,576.4,GREEN,CLEAR,10.0,0,1,0.56,86.4,0,SYNTHETIC / SIMULATION DATA
TRF-000061,2026-01-24 02:49:00,2,5,1,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.920161254049841,77.64782734325067,Sarjapur-ORR Junction,0.64,0.311,97,15.4,HIGH,465.1,GREEN,CLEAR,10.0,0,0,0.57,84.6,0,SYNTHETIC / SIMULATION DATA
TRF-000062,2026-02-05 00:22:00,0,3,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.920378675364661,77.6461961770031,Sarjapur-ORR Junction,0.67,0.324,86,15.7,HIGH,747.1,RED,CLEAR,10.0,0,0,0.27,86.1,0,SYNTHETIC / SIMULATION DATA
TRF-000063,2026-02-15 05:07:00,5,6,1,BLR-MARATH-05,Marathahalli Bridge,12.95851361481629,77.70168536243555,Outer Ring Road,0.68,0.294,92,18.4,HIGH,604.6,GREEN,CLOUDY,10.0,0,0,0.42,85.5,0,SYNTHETIC / SIMULATION DATA
TRF-000064,2026-02-10 02:59:00,2,1,0,BLR-SILK-01,Silk Board Junction,12.91669010940285,77.62245817768148,Hosur Road / Outer Ring Road,0.69,0.499,126,13.1,HIGH,480.7,RED,CLEAR,10.0,0,0,0.56,90.7,0,SYNTHETIC / SIMULATION DATA
TRF-000065,2026-03-27 22:36:00,22,4,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.9212690789892,77.64921835057608,Sarjapur-ORR Junction,0.65,0.213,71,10.4,CRITICAL,826.7,YELLOW,HEAVY_RAIN,3.0,0,0,0.45,86.6,0,SYNTHETIC / SIMULATION DATA
TRF-000066,2026-03-13 23:16:00,23,4,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.986778187468179,77.73317267654423,ITPL Main Road,0.73,0.25,68,23.7,LOW,92.4,RED,CLEAR,10.0,0,0,0.28,78.6,0,SYNTHETIC / SIMULATION DATA
TRF-000067,2026-02-25 12:44:00,12,2,0,BLR-HEBBL-04,Hebbal Flyover,13.037349037234113,77.59554265619482,Airport Road / Bellary Road,0.82,0.814,226,14.8,HIGH,470.9,RED,CLOUDY,10.0,0,0,0.52,88.8,0,SYNTHETIC / SIMULATION DATA
TRF-000068,2026-03-03 00:41:00,0,1,0,BLR-YESHW-12,Yeshwanthpur TTMC Circle,13.023282119834937,77.55267353234424,Tumkur Road / Subedarchatram Rd,0.77,0.312,90,21.2,HIGH,411.8,RED,CLOUDY,10.0,0,0,0.32,85.3,1,SYNTHETIC / SIMULATION DATA
TRF-000069,2026-03-19 20:45:00,20,3,0,BLR-BELLAN-06,Bellandur EcoSpace,12.924848423261693,77.6767579716741,Outer Ring Road IT Corridor,0.73,0.99,279,6.6,CRITICAL,1409.3,RED,CLEAR,10.0,0,0,1.0,98.7,0,SYNTHETIC / SIMULATION DATA
TRF-000070,2026-01-05 14:29:00,14,0,0,BLR-BELLAN-06,Bellandur EcoSpace,12.926383926540698,77.6753090993839,Outer Ring Road IT Corridor,0.73,0.714,202,7.7,CRITICAL,1612.8,GREEN,CLEAR,10.0,0,0,0.47,94.9,0,SYNTHETIC / SIMULATION DATA
TRF-000071,2026-03-31 21:17:00,21,1,0,BLR-KRPUR-03,KR Puram Hanging Bridge,12.999166872227818,77.6927043421064,Old Madras Road / ORR,0.62,0.99,265,6.4,CRITICAL,728.4,RED,CLEAR,10.0,0,0,0.75,94.5,0,SYNTHETIC / SIMULATION DATA
TRF-000072,2026-02-13 08:22:00,8,4,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.917524602558041,77.64999434702035,Sarjapur-ORR Junction,0.69,0.99,265,5.2,CRITICAL,943.7,GREEN,CLOUDY,10.0,0,0,0.84,94.8,0,SYNTHETIC / SIMULATION DATA
TRF-000073,2026-02-08 19:12:00,19,6,1,BLR-MGROAD-11,MG Road Brigade Jn,12.977578511023443,77.60672222734972,Mahatma Gandhi Road,0.9,0.99,276,5.9,CRITICAL,788.9,GREEN,CLEAR,10.0,0,0,0.81,94.0,0,SYNTHETIC / SIMULATION DATA
TRF-000074,2026-02-25 02:34:00,2,2,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.985894920737028,77.73231845003053,ITPL Main Road,0.73,0.427,131,20.9,HIGH,701.1,GREEN,CLEAR,10.0,0,0,0.57,80.0,0,SYNTHETIC / SIMULATION DATA
TRF-000075,2026-01-29 10:43:00,10,3,0,BLR-MGROAD-11,MG Road Brigade Jn,12.975945860330958,77.60684634565597,Mahatma Gandhi Road,0.88,0.99,283,9.3,CRITICAL,773.8,GREEN,CLEAR,10.0,0,0,0.91,94.6,0,SYNTHETIC / SIMULATION DATA
TRF-000076,2026-01-12 03:01:00,3,0,0,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.986228757584817,77.73278909939253,ITPL Main Road,0.74,0.439,131,19.7,HIGH,716.3,RED,CLEAR,10.0,0,0,0.26,80.9,0,SYNTHETIC / SIMULATION DATA
TRF-000077,2026-02-20 15:10:00,15,4,0,BLR-BELLAN-06,Bellandur EcoSpace,12.92731784315984,77.67526979090061,Outer Ring Road IT Corridor,0.65,0.73,196,9.9,CRITICAL,1629.7,YELLOW,CLEAR,10.0,0,0,0.62,90.9,0,SYNTHETIC / SIMULATION DATA
TRF-000078,2026-03-05 23:04:00,23,3,0,BLR-MARATH-05,Marathahalli Bridge,12.956579329975057,77.70046358392707,Outer Ring Road,0.69,0.255,61,14.3,HIGH,576.5,RED,HEAVY_RAIN,3.0,0,0,0.14,85.4,0,SYNTHETIC / SIMULATION DATA
TRF-000079,2026-03-07 16:21:00,16,5,1,BLR-BELLAN-06,Bellandur EcoSpace,12.92565673495153,77.67506227586135,Outer Ring Road IT Corridor,0.68,0.648,168,11.4,CRITICAL,871.1,GREEN,CLOUDY,10.0,0,0,0.47,91.6,0,SYNTHETIC / SIMULATION DATA
TRF-000080,2026-02-01 10:02:00,10,6,1,BLR-WFIELD-07,Whitefield ITPL Main Gate,12.98484893922103,77.73042207801608,ITPL Main Road,0.73,0.99,280,7.9,CRITICAL,1433.8,RED,CLEAR,10.0,0,0,0.51,88.8,0,SYNTHETIC / SIMULATION DATA
TRF-000081,2026-01-01 16:53:00,16,3,0,BLR-ORR-08,Outer Ring Road Sarjapur Jn,12.919239017001425,77.6463114504475,Sarjapur-ORR Junction,0.64,0.682,188,10.1,CRITICAL,953.1,GREEN,CLOUDY,10.0,0,0,0.52,92.4,0,SYNTHETIC / SIMULATION DATA
TRF-000082,2026-02-09 01:47:00,1,0,0,BLR-INDIRA-10,Indiranagar 100ft Road,12.973277937439258,77.64017326589929,100ft Road CMH Junction,0.86,0.346,91,23.5,LOW,12.3,RED,CLEAR,10.0,0,0,0.52,80.5,0,SYNTHETIC / SIMULATION DATA
TRF-000083,2026-02-17 16:36:00,16,1,0,BLR-ECITY-02,Electronic City Toll,12.847032893395989,77.66078177190468,Hosur Elevated Expressway,0.84,0.611,166,24.0,MEDIUM,318.2,RED,CLEAR,10.0,0,0,0.44,81.9,0,SYNTHETIC / SIMULATION DATA
TRF-000084,2026-01-10 08:34:00,8,5,1,BLR-KRPUR-03,KR Puram Hanging Bridge,12.999896617033544,77.6928579671336,Old Madras Road / ORR,0.61,0.912,244,8.1,CRITICAL,1421.1,RED,CLEAR,10.0,0,0,0.78,96.1,0,SYNTHETIC / SIMULATION DATA
TRF-000085,2026-02-26 20:17:00,20,3,0,BLR-BELLAN-06,Bellandur EcoSpace,12.924150428982285,77.67567495039795,Outer Ring Road IT Corridor,0.66,0.99,266,4.0,CRITICAL,1215.8,GREEN,RAIN,6.0,0,0,0.8,95.4,0,SYNTHETIC / SIMULATION DATA
TRF-000086,2026-02-28 16:17:00,16,5,1,BLR-ECITY-02,Electronic City Toll,12.84520546920749,77.66203088943547,Hosur Elevated Expressway,0.88,0.532,148,28.1,MEDIUM,367.2,GREEN,CLOUDY,10.0,0,0,0.52,77.2,0,SYNTHETIC / SIMULATION DATA
TRF-000087,2026-03-15 19:35:00,19,6,1,BLR-BELLAN-06,Bellandur EcoSpace,12.92563507758899,77.67555346858737,Outer Ring Road IT Corridor,0.69,0.99,282,4.0,CRITICAL,972.5,RED,FOG,1.5,0,0,0.62,96.9,0,SYNTHETIC / SIMULATION DATA
TRF-000088,2026-03-13 20:05:00,20,4,0,BLR-MGROAD-11,MG Road Brigade Jn,12.976254448424024,77.60826698582022,Mahatma Gandhi Road,0.88,0.99,265,7.8,CRITICAL,1125.2,RED,CLOUDY,10.0,0,0,0.9,91.6,0,SYNTHETIC / SIMULATION DATA
TRF-000089,2026-03-01 17:10:00,17,6,1,BLR-YESHW-12,Yeshwanthpur TTMC Circle,13.02454165776111,77.55300557335893,Tumkur Road / Subedarchatram Rd,0.73,0.87,250,11.1,CRITICAL,1040.5,RED,CLOUDY,10.0,0,0,0.78,93.4,0,SYNTHETIC / SIMULATION DATA
TRF-000090,2026-02-08 12:56:00,12,6,1,BLR-KORAM-09,Koramangala Sony World Jn,12.9352307588509,77.62465908303365,100 Feet Intermediate Ring Road,0.82,0.607,160,16.7,HIGH,486.7,GREEN,CLEAR,10.0,0,0,0.39,83.9,0,SYNTHETIC / SIMULATION DATA
