multimodal_id,zone_name,hour,time_of_day_period,traffic_density,average_speed_kmh,accident_probability,pedestrian_risk,road_condition_score,noise_db,emergency_vehicle_present,incident_risk_score,traffic_impact_score,data_source
MM-REC-000060,Electronic City Toll,21,evening_peak,0.755,19.1,0.087,0.381,0.91,87.9,0,25.7,51.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000061,Indiranagar 100ft Road,5,night,0.769,13.4,0.387,0.665,0.85,86.6,0,47.1,65.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000062,Silk Board Junction,15,afternoon,0.423,12.3,0.835,0.153,0.73,92.5,0,50.4,55.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000063,Whitefield ITPL Main Gate,13,afternoon,0.222,23.2,0.408,0.863,0.77,83.2,0,45.6,38.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000064,Indiranagar 100ft Road,3,night,0.74,16.0,0.724,0.737,0.77,87.7,0,64.4,69.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000065,Hebbal Flyover,7,night,0.228,28.0,0.338,0.411,0.81,83.3,0,30.8,29.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000066,Indiranagar 100ft Road,12,afternoon,0.55,17.3,0.044,0.373,0.84,86.8,0,21.2,43.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000067,Indiranagar 100ft Road,3,night,0.725,14.9,0.267,0.357,0.86,87.4,0,33.2,56.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000068,Marathahalli Bridge,7,night,0.422,14.8,0.573,0.595,0.7,87.5,1,55.0,53.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000069,Whitefield ITPL Main Gate,14,afternoon,0.785,13.3,0.025,0.205,0.68,87.6,0,21.2,54.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000070,Bellandur EcoSpace,14,afternoon,0.723,6.5,0.612,0.231,0.69,96.1,0,47.3,68.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000071,Bellandur EcoSpace,22,night,0.277,14.4,0.486,0.884,0.74,90.4,0,50.7,48.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000072,MG Road Brigade Jn,14,afternoon,0.618,14.4,0.188,0.109,0.96,90.0,0,20.9,48.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000073,Electronic City Toll,12,afternoon,0.487,26.7,0.959,0.118,0.97,82.7,0,53.7,49.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000074,KR Puram Hanging Bridge,20,evening_peak,0.862,5.4,0.942,0.7,0.61,97.6,0,76.7,86.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000075,Outer Ring Road Sarjapur Jn,9,morning_peak,0.281,15.2,0.697,0.604,0.58,87.4,0,54.9,49.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000076,Outer Ring Road Sarjapur Jn,22,night,0.39,13.2,0.864,0.612,0.7,90.6,0,63.0,59.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000077,Whitefield ITPL Main Gate,13,afternoon,0.366,21.6,0.885,0.926,0.68,82.0,1,76.7,55.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000078,Marathahalli Bridge,21,evening_peak,0.869,9.4,0.572,0.367,0.73,96.1,0,50.7,72.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000079,Marathahalli Bridge,14,afternoon,0.735,11.6,0.485,0.797,0.76,91.4,0,55.2,68.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000080,MG Road Brigade Jn,10,morning_peak,0.811,8.4,0.712,0.753,0.87,91.8,0,64.3,77.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000081,KR Puram Hanging Bridge,5,night,0.407,13.3,0.502,0.266,0.59,88.5,0,39.4,49.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000082,Silk Board Junction,3,night,0.498,9.5,0.902,0.064,0.64,94.9,0,53.3,61.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000083,Bellandur EcoSpace,3,night,0.443,12.3,0.515,0.807,0.77,92.2,0,52.3,56.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000084,Yeshwanthpur TTMC Circle,7,night,0.563,14.2,0.711,0.434,0.79,91.8,0,53.4,60.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000085,Indiranagar 100ft Road,22,night,0.557,19.5,0.609,0.32,0.77,87.2,0,46.1,53.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000086,Bellandur EcoSpace,0,night,0.694,8.7,0.151,0.704,0.77,94.2,0,37.1,61.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000087,Silk Board Junction,5,night,0.631,9.9,0.461,0.056,0.64,95.5,0,35.2,57.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000088,Indiranagar 100ft Road,1,night,0.923,9.4,0.779,0.697,0.79,89.8,0,68.4,82.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000089,Whitefield ITPL Main Gate,17,evening_peak,0.491,16.0,0.647,0.613,0.74,85.5,1,59.4,56.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000090,Hebbal Flyover,10,morning_peak,0.546,19.4,0.525,0.876,0.9,88.7,0,54.7,56.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000091,Silk Board Junction,10,morning_peak,0.773,7.0,0.355,0.623,0.63,98.5,0,46.8,69.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000092,Bellandur EcoSpace,12,afternoon,0.362,12.1,0.534,0.612,0.65,89.5,0,48.3,52.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000093,MG Road Brigade Jn,22,night,0.215,24.7,0.669,0.144,0.93,85.5,0,37.6,34.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000094,Bellandur EcoSpace,11,morning_peak,0.508,9.3,0.973,0.126,0.64,90.7,0,58.2,64.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000095,Whitefield ITPL Main Gate,2,night,0.397,18.2,0.789,0.711,0.8,84.7,0,61.2,55.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000096,Electronic City Toll,13,afternoon,0.887,15.4,0.113,0.299,0.94,90.3,0,26.5,59.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000097,Silk Board Junction,1,night,0.873,7.4,0.761,0.548,0.7,99.3,0,64.0,80.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000098,Hebbal Flyover,17,evening_peak,0.246,23.8,0.832,0.212,0.91,84.1,0,47.3,40.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000099,KR Puram Hanging Bridge,19,evening_peak,0.937,6.2,0.083,0.093,0.69,97.9,0,23.2,65.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000100,MG Road Brigade Jn,12,afternoon,0.847,11.0,0.878,0.59,0.82,94.2,0,68.8,79.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000101,Yeshwanthpur TTMC Circle,18,evening_peak,0.523,14.9,0.8,0.612,0.81,88.5,0,61.0,61.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000102,Silk Board Junction,13,afternoon,0.911,5.0,0.113,0.33,0.63,99.8,0,30.7,68.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000103,Marathahalli Bridge,19,evening_peak,0.662,10.5,0.895,0.226,0.64,90.9,0,59.5,68.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000104,Bellandur EcoSpace,2,night,0.678,10.7,0.296,0.629,0.61,94.1,0,43.1,61.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000105,Koramangala Sony World Jn,13,afternoon,0.44,17.3,0.376,0.339,0.82,84.4,0,33.8,45.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000106,MG Road Brigade Jn,1,night,0.505,14.8,0.508,0.93,0.84,90.2,0,55.3,58.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000107,Koramangala Sony World Jn,7,night,0.274,19.4,0.588,0.822,0.7,86.2,0,54.1,46.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000108,MG Road Brigade Jn,6,night,0.329,21.7,0.455,0.736,0.97,86.0,0,44.1,43.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000109,Hebbal Flyover,9,morning_peak,0.87,11.9,0.628,0.449,0.75,91.9,0,55.0,72.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000110,MG Road Brigade Jn,19,evening_peak,0.611,14.7,0.581,0.856,0.87,89.3,0,58.0,63.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000111,Marathahalli Bridge,19,evening_peak,0.634,12.7,0.155,0.86,0.64,93.0,0,41.6,57.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000112,Yeshwanthpur TTMC Circle,19,evening_peak,0.357,17.3,0.614,0.231,0.76,87.3,0,41.2,45.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000113,Silk Board Junction,16,afternoon,0.954,6.0,0.863,0.755,0.56,97.5,0,76.4,88.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000114,Yeshwanthpur TTMC Circle,10,morning_peak,0.688,10.0,0.415,0.774,0.74,92.6,0,50.9,66.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000115,Whitefield ITPL Main Gate,21,evening_peak,0.513,17.3,0.227,0.07,0.84,85.9,0,21.3,42.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000116,Whitefield ITPL Main Gate,5,night,0.644,14.5,0.515,0.073,0.74,87.3,0,37.3,55.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000117,Bellandur EcoSpace,15,afternoon,0.452,10.2,0.649,0.329,0.65,93.9,0,47.7,56.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000118,Koramangala Sony World Jn,7,night,0.662,12.1,0.403,0.434,0.78,88.8,0,41.1,59.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000119,Indiranagar 100ft Road,2,night,0.905,11.7,0.498,0.359,0.84,89.6,0,46.6,71.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000120,Yeshwanthpur TTMC Circle,19,evening_peak,0.541,13.9,0.269,0.461,0.76,88.5,0,34.1,51.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000121,Bellandur EcoSpace,14,afternoon,0.687,8.5,0.92,0.22,0.65,93.4,0,60.7,71.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000122,Electronic City Toll,8,morning_peak,0.219,35.9,0.167,0.296,0.95,81.9,0,18.7,18.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000123,Electronic City Toll,18,evening_peak,0.617,25.2,0.591,0.117,0.91,84.4,0,39.7,48.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000124,Electronic City Toll,17,evening_peak,0.531,26.3,0.152,0.697,0.94,85.2,0,32.8,41.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000125,Indiranagar 100ft Road,21,evening_peak,0.741,12.7,0.687,0.158,0.94,86.5,0,46.6,65.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000126,Electronic City Toll,14,afternoon,0.768,19.1,0.561,0.57,0.84,88.1,0,52.6,63.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000127,Silk Board Junction,6,night,0.492,9.8,0.191,0.655,0.62,92.0,0,36.1,52.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000128,MG Road Brigade Jn,11,morning_peak,0.438,16.8,0.381,0.583,0.8,89.5,0,40.3,48.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000129,Silk Board Junction,16,afternoon,0.903,6.3,0.785,0.887,0.75,99.5,0,73.5,86.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000130,Electronic City Toll,7,night,0.615,23.7,0.47,0.864,0.92,84.8,0,52.8,54.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000131,Bellandur EcoSpace,10,morning_peak,0.299,12.4,0.201,0.859,0.58,91.1,0,39.2,45.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000132,Electronic City Toll,17,evening_peak,0.78,17.2,0.356,0.511,0.79,89.3,0,42.6,60.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000133,Silk Board Junction,17,evening_peak,0.839,6.3,0.896,0.055,0.63,97.9,0,58.0,77.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000134,Indiranagar 100ft Road,4,night,0.507,21.2,0.726,0.89,0.94,84.2,0,63.1,57.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000135,Silk Board Junction,9,morning_peak,0.454,9.8,0.216,0.308,0.59,92.1,0,28.3,48.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000136,Koramangala Sony World Jn,1,night,0.54,13.9,0.1,0.322,0.73,89.3,0,23.4,46.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000137,Outer Ring Road Sarjapur Jn,15,afternoon,0.336,12.5,0.92,0.243,0.65,87.4,0,56.0,54.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000138,Indiranagar 100ft Road,16,afternoon,0.578,18.3,0.904,0.784,0.78,87.6,0,71.2,65.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000139,Marathahalli Bridge,7,night,0.738,9.1,0.799,0.765,0.69,93.5,0,69.2,76.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000140,KR Puram Hanging Bridge,18,evening_peak,0.279,14.9,0.973,0.525,0.52,87.4,0,65.9,54.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000141,Koramangala Sony World Jn,7,night,0.307,19.8,0.566,0.217,0.72,83.6,0,38.3,40.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000142,Yeshwanthpur TTMC Circle,16,afternoon,0.502,15.4,0.541,0.462,0.77,88.0,0,45.7,54.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000143,Yeshwanthpur TTMC Circle,6,night,0.379,18.5,0.232,0.303,0.79,88.0,0,25.8,39.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000144,Outer Ring Road Sarjapur Jn,9,morning_peak,0.548,10.1,0.264,0.404,0.62,93.3,0,34.0,53.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000145,Yeshwanthpur TTMC Circle,10,morning_peak,0.876,7.8,0.866,0.872,0.68,92.7,0,77.1,85.2,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000146,Silk Board Junction,15,afternoon,0.654,9.0,0.259,0.786,0.73,97.0,0,43.8,62.4,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000147,Silk Board Junction,19,evening_peak,0.78,6.6,0.704,0.543,0.64,97.1,0,60.6,75.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000148,Electronic City Toll,0,night,0.941,12.0,0.348,0.203,0.87,87.5,0,36.1,67.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000149,Marathahalli Bridge,22,night,0.788,9.8,0.13,0.857,0.72,91.9,1,46.9,65.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000150,Electronic City Toll,8,morning_peak,0.776,18.3,0.234,0.894,0.79,88.6,0,46.6,60.9,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000151,KR Puram Hanging Bridge,9,morning_peak,0.288,15.6,0.555,0.288,0.61,88.8,0,40.4,43.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000152,Koramangala Sony World Jn,8,morning_peak,0.612,15.1,0.927,0.726,0.89,87.1,0,70.1,69.0,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000153,MG Road Brigade Jn,14,afternoon,0.695,14.3,0.559,0.65,0.89,89.9,0,52.9,64.8,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000154,KR Puram Hanging Bridge,16,afternoon,0.448,14.2,0.133,0.465,0.68,92.5,0,27.5,44.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000155,Hebbal Flyover,0,night,0.661,16.4,0.049,0.844,0.73,91.3,1,40.9,53.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000156,Yeshwanthpur TTMC Circle,14,afternoon,0.958,8.5,0.507,0.525,0.75,94.6,0,52.8,77.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000157,Koramangala Sony World Jn,16,afternoon,0.881,7.0,0.564,0.282,0.83,89.7,1,52.3,74.1,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000158,Hebbal Flyover,19,evening_peak,0.527,19.6,0.753,0.401,0.78,87.9,0,54.0,55.5,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000159,KR Puram Hanging Bridge,17,evening_peak,0.269,15.2,0.157,0.181,0.6,90.5,0,19.6,34.3,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000160,Marathahalli Bridge,8,morning_peak,0.53,12.0,0.13,0.29,0.72,89.7,0,23.9,47.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000161,Silk Board Junction,20,evening_peak,0.641,9.2,0.891,0.518,0.67,94.9,0,66.0,71.7,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000162,Indiranagar 100ft Road,10,morning_peak,0.444,22.4,0.88,0.506,0.84,84.4,0,60.5,53.6,SYNTHETIC MULTIMODAL SIMULATION
MM-REC-000163,Yeshwanthpur TTMC Circle,4,night,0.609,14.6,0.401,0.814,0.79,90.7,0,49.6,59.6,SYNTHETIC MULTIMODAL SIMULATION
