emergency_event_id,vehicle_id,emergency_vehicle_type,distance_to_dest_km,traffic_density,signal_count,current_speed_kmh,baseline_eta_minutes,target_optimized_eta_minutes,emergency_delay_minutes,recommended_priority,green_corridor_required,data_tag
EMG-EVT-000058,FIRE-08,FIRE_TRUCK,5.9,0.9,11,22.0,29.3,7.5,21.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000059,AMB-20,AMBULANCE,13.4,0.49,24,42.3,47.8,17.0,30.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000060,AMB-09,AMBULANCE,12.9,0.22,23,59.4,40.6,16.4,24.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000061,POL-03,POLICE,4.2,0.49,7,45.1,14.0,5.3,8.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000062,AMB-15,AMBULANCE,15.3,0.56,28,35.6,59.4,19.5,39.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000063,AMB-05,AMBULANCE,14.3,0.9,26,13.6,94.3,18.2,76.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000064,POL-06,POLICE,2.5,0.79,7,26.6,14.0,3.4,10.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000065,AMB-20,AMBULANCE,4.3,0.56,10,36.7,19.0,5.7,13.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000066,AMB-13,AMBULANCE,10.1,0.42,18,48.0,34.2,12.8,21.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000067,AMB-16,AMBULANCE,8.2,0.42,15,49.4,28.0,10.4,17.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000068,AMB-17,AMBULANCE,10.5,0.78,21,24.2,51.2,13.6,37.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000069,AMB-20,AMBULANCE,3.4,0.25,6,59.2,10.6,4.3,6.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000070,AMB-02,AMBULANCE,3.3,0.37,8,51.7,13.4,4.4,9.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000071,AMB-19,AMBULANCE,7.3,0.2,15,58.2,25.5,9.5,16.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000072,AMB-05,AMBULANCE,10.3,0.59,18,40.9,36.7,13.0,23.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000073,FIRE-06,FIRE_TRUCK,13.5,0.92,26,21.2,69.4,17.3,52.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000074,POL-07,POLICE,9.5,0.24,18,57.6,31.5,12.2,19.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000075,POL-05,POLICE,3.5,0.97,6,10.0,28.2,4.4,23.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000076,FIRE-09,FIRE_TRUCK,7.7,0.81,14,24.7,35.5,9.8,25.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000077,AMB-14,AMBULANCE,12.2,0.75,23,28.1,53.6,15.6,38.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000078,AMB-02,AMBULANCE,13.9,0.54,25,36.8,52.7,17.7,35.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000079,AMB-08,AMBULANCE,14.7,0.44,27,48.3,50.7,18.7,32.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000080,AMB-09,AMBULANCE,11.5,0.83,21,17.3,65.1,14.6,50.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000081,AMB-02,AMBULANCE,10.4,0.6,20,39.8,39.7,13.3,26.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000082,FIRE-10,FIRE_TRUCK,15.9,0.31,29,48.7,54.4,20.2,34.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000083,AMB-06,AMBULANCE,10.9,0.34,21,52.0,37.8,14.0,23.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000084,AMB-08,AMBULANCE,9.4,0.66,18,36.7,37.0,12.1,24.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000085,AMB-06,AMBULANCE,5.2,0.9,9,17.6,28.5,6.6,21.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000086,AMB-12,AMBULANCE,10.9,0.26,19,56.6,34.4,13.8,20.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000087,AMB-09,AMBULANCE,6.7,0.53,13,37.0,26.5,8.6,17.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000088,AMB-02,AMBULANCE,5.9,0.77,10,23.8,26.9,7.4,19.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000089,AMB-09,AMBULANCE,7.4,0.86,14,20.9,38.0,9.5,28.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000090,FIRE-03,FIRE_TRUCK,6.6,0.41,11,50.1,21.1,8.3,12.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000091,AMB-19,AMBULANCE,13.2,0.79,26,26.9,60.6,17.0,43.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000092,AMB-06,AMBULANCE,12.1,0.67,24,36.0,49.0,15.6,33.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000093,AMB-19,AMBULANCE,10.6,0.74,20,27.6,47.0,13.6,33.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000094,AMB-09,AMBULANCE,12.1,0.94,24,17.0,71.5,15.6,55.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000095,AMB-08,AMBULANCE,14.4,0.35,25,55.8,45.5,18.2,27.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000096,AMB-04,AMBULANCE,9.1,0.37,16,51.9,29.7,11.5,18.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000097,AMB-20,AMBULANCE,5.9,0.8,13,22.5,31.3,7.7,23.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000098,FIRE-06,FIRE_TRUCK,6.0,0.69,13,33.3,26.4,7.8,18.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000099,FIRE-07,FIRE_TRUCK,11.4,0.69,22,26.9,51.8,14.6,37.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000100,AMB-16,AMBULANCE,13.0,0.95,25,13.9,86.1,16.7,69.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000101,FIRE-09,FIRE_TRUCK,2.3,0.41,7,43.1,11.6,3.2,8.4,HIGH,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000102,FIRE-05,FIRE_TRUCK,8.2,0.32,16,54.8,28.2,10.5,17.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000103,AMB-10,AMBULANCE,10.9,0.37,20,45.0,38.5,13.9,24.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000104,AMB-06,AMBULANCE,11.8,0.44,21,47.4,40.1,15.0,25.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000105,AMB-19,AMBULANCE,8.5,0.67,17,30.9,36.9,11.0,25.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000106,FIRE-05,FIRE_TRUCK,10.3,0.84,18,21.1,50.9,13.0,37.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000107,AMB-04,AMBULANCE,5.5,0.74,12,27.7,26.3,7.2,19.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000108,FIRE-07,FIRE_TRUCK,3.8,0.71,7,25.4,17.4,4.8,12.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000109,AMB-12,AMBULANCE,14.2,0.83,25,24.6,64.6,18.0,46.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000110,POL-01,POLICE,13.8,0.36,26,52.9,46.9,17.7,29.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000111,POL-06,POLICE,6.5,0.45,12,48.0,22.5,8.3,14.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000112,AMB-01,AMBULANCE,14.7,0.67,28,27.1,66.1,18.8,47.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000113,AMB-12,AMBULANCE,10.1,0.86,20,16.8,60.1,13.0,47.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000114,AMB-02,AMBULANCE,15.7,0.42,28,42.1,56.0,19.9,36.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000115,AMB-09,AMBULANCE,13.6,0.96,26,13.9,89.9,17.4,72.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000116,AMB-14,AMBULANCE,7.2,0.49,15,38.5,29.2,9.4,19.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000117,AMB-06,AMBULANCE,2.5,0.38,7,52.0,11.3,3.4,7.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000118,AMB-06,AMBULANCE,8.2,0.21,15,64.3,25.7,10.4,15.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000119,AMB-09,AMBULANCE,4.0,0.2,10,64.8,15.7,5.4,10.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000120,FIRE-09,FIRE_TRUCK,7.0,0.49,14,45.0,26.1,9.0,17.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000121,POL-08,POLICE,1.8,0.96,3,15.0,10.8,2.3,8.5,HIGH,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000122,POL-08,POLICE,6.4,0.97,11,12.7,43.4,8.1,35.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000123,AMB-03,AMBULANCE,3.7,0.88,8,23.0,19.3,4.8,14.5,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000124,POL-02,POLICE,14.0,0.65,25,32.9,55.5,17.8,37.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000125,AMB-05,AMBULANCE,4.0,0.2,7,60.6,12.4,5.1,7.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000126,FIRE-09,FIRE_TRUCK,9.3,0.23,16,62.9,28.1,11.7,16.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000127,AMB-01,AMBULANCE,7.2,0.76,15,28.0,33.4,9.4,24.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000128,POL-07,POLICE,10.0,0.62,18,31.0,41.0,12.7,28.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000129,AMB-05,AMBULANCE,8.2,0.21,14,62.3,24.7,10.3,14.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000130,FIRE-10,FIRE_TRUCK,9.8,0.7,20,28.1,44.9,12.7,32.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000131,FIRE-03,FIRE_TRUCK,3.2,0.53,5,38.5,11.0,4.0,7.0,HIGH,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000132,FIRE-04,FIRE_TRUCK,10.7,0.45,21,40.7,41.0,13.8,27.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000133,AMB-16,AMBULANCE,2.0,0.88,4,22.2,10.2,2.6,7.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000134,FIRE-09,FIRE_TRUCK,7.3,0.32,14,57.3,24.4,9.4,15.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000135,AMB-02,AMBULANCE,6.6,0.54,14,44.6,25.7,8.6,17.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000136,AMB-15,AMBULANCE,6.7,0.36,15,47.9,26.4,8.8,17.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000137,FIRE-10,FIRE_TRUCK,11.2,0.31,21,51.9,38.1,14.3,23.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000138,AMB-07,AMBULANCE,14.6,0.75,27,22.6,71.2,18.6,52.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000139,FIRE-10,FIRE_TRUCK,8.3,0.49,15,44.6,29.2,10.6,18.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000140,AMB-09,AMBULANCE,13.3,0.5,25,39.5,50.2,17.0,33.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000141,AMB-16,AMBULANCE,13.5,0.61,25,35.5,52.8,17.2,35.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000142,AMB-19,AMBULANCE,7.7,0.5,14,46.2,26.8,9.8,17.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000143,AMB-14,AMBULANCE,4.2,0.92,9,12.4,31.1,5.5,25.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000144,FIRE-01,FIRE_TRUCK,12.5,0.22,25,56.5,43.3,16.1,27.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000145,AMB-09,AMBULANCE,4.8,0.98,9,12.5,33.8,6.1,27.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000146,FIRE-07,FIRE_TRUCK,12.4,0.98,22,17.9,68.0,15.7,52.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000147,AMB-19,AMBULANCE,6.1,0.35,11,53.0,20.1,7.8,12.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000148,AMB-16,AMBULANCE,6.8,0.79,14,29.3,30.7,8.8,21.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000149,POL-02,POLICE,11.0,0.73,20,28.5,47.2,14.0,33.2,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000150,FIRE-07,FIRE_TRUCK,14.7,0.72,28,25.2,68.6,18.8,49.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000151,FIRE-09,FIRE_TRUCK,10.6,0.87,21,15.4,66.5,13.7,52.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000152,AMB-09,AMBULANCE,14.6,0.32,28,54.4,49.7,18.7,31.0,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000153,POL-06,POLICE,4.6,0.26,10,54.1,17.1,6.0,11.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000154,FIRE-05,FIRE_TRUCK,12.0,0.87,22,15.6,72.6,15.3,57.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000155,AMB-20,AMBULANCE,1.9,0.96,6,18.7,13.3,2.7,10.6,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000156,AMB-08,AMBULANCE,15.4,0.24,29,55.7,51.4,19.7,31.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000157,FIRE-05,FIRE_TRUCK,7.1,0.7,15,27.9,33.3,9.2,24.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000158,AMB-05,AMBULANCE,15.3,0.97,27,13.1,102.5,19.4,83.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000159,AMB-15,AMBULANCE,15.3,0.71,28,27.0,67.6,19.5,48.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000160,AMB-05,AMBULANCE,5.6,0.42,10,49.0,18.9,7.1,11.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000161,AMB-20,AMBULANCE,10.6,0.75,19,31.6,42.9,13.5,29.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000162,FIRE-04,FIRE_TRUCK,6.2,0.84,12,24.3,29.7,8.0,21.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000163,AMB-15,AMBULANCE,14.1,0.66,28,33.2,59.1,18.2,40.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000164,FIRE-01,FIRE_TRUCK,2.8,0.67,5,29.6,11.7,3.6,8.1,HIGH,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000165,AMB-13,AMBULANCE,12.7,0.41,23,47.5,43.6,16.2,27.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000166,AMB-15,AMBULANCE,4.0,0.24,10,58.1,16.1,5.4,10.7,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000167,AMB-14,AMBULANCE,8.9,0.79,16,21.9,43.6,11.3,32.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000168,AMB-07,AMBULANCE,7.9,0.75,16,24.4,38.6,10.2,28.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000169,AMB-02,AMBULANCE,5.0,0.26,12,55.4,19.8,6.7,13.1,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000170,POL-07,POLICE,9.8,0.83,20,22.1,50.6,12.7,37.9,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000171,AMB-19,AMBULANCE,2.6,0.55,6,43.6,10.8,3.4,7.4,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000172,AMB-10,AMBULANCE,9.9,0.22,17,60.1,30.3,12.5,17.8,CRITICAL,1,SYNTHETIC EMERGENCY V2X
EMG-EVT-000173,FIRE-06,FIRE_TRUCK,5.0,0.41,11,44.6,19.9,6.6,13.3,CRITICAL,1,SYNTHETIC EMERGENCY V2X
