message_id,sender_vehicle_id,sender_type,receiver_vehicle_id,distance_m,sender_speed_kmh,receiver_speed_kmh,relative_speed_kmh,acceleration_mps2,deceleration_mps2,heading_difference_deg,braking_status,communication_mode,latency_ms,packet_loss_rate,signal_strength_dbm,hazard_type,time_to_collision_sec,collision_probability,warning_required,v2v_risk_level,data_source
V2V-MSG-000038,VEH-032,BUS,VEH-236,77.6,59.9,49.8,10.1,-0.56,0.56,14.4,LIGHT_BRAKING,DSRC,8.38,0.008,-55.4,NORMAL_DRIVING,27.66,0.135,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000039,VEH-114,BUS,VEH-176,47.0,75.7,83.7,-8.0,-1.27,1.27,8.0,LIGHT_BRAKING,C-V2V,61.38,0.023,-60.0,NORMAL_DRIVING,99.0,0.082,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000040,VEH-007,CAR,VEH-235,144.3,28.9,36.0,-7.1,-6.03,6.03,38.7,HARD_BRAKING,DSRC,3.4,0.023,-66.9,SUDDEN_BRAKING,99.0,0.014,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000041,VEH-076,SUV,VEH-209,17.7,80.1,75.6,4.5,-12.41,12.41,35.4,CRASH_STOP,DSRC,6.34,0.004,-43.6,ACCIDENT,14.16,0.972,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000042,VEH-040,AMBULANCE,VEH-264,971.4,32.0,14.0,18.0,-0.37,0.37,58.7,LIGHT_BRAKING,C-V2V,43.99,0.019,-88.2,NORMAL_DRIVING,99.0,0.059,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000043,VEH-107,SUV,VEH-223,275.7,41.4,25.7,15.7,-0.88,0.88,34.2,LIGHT_BRAKING,DSRC,4.42,0.047,-92.1,NORMAL_DRIVING,63.22,0.146,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000044,VEH-032,MOTORBIKE,VEH-260,12.3,35.9,18.6,17.3,-8.9,8.9,7.2,CRASH_STOP,DSRC,7.14,0.012,-44.2,ACCIDENT,2.56,0.924,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000045,VEH-011,BUS,VEH-172,262.2,39.0,42.5,-3.5,-0.1,0.1,26.1,LIGHT_BRAKING,DSRC,4.84,0.041,-90.1,NORMAL_DRIVING,99.0,0.081,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000046,VEH-114,TRUCK,VEH-249,259.4,20.0,15.6,4.4,1.94,0.0,12.3,NORMAL,DSRC,3.75,0.045,-87.1,NORMAL_DRIVING,99.0,0.1,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000047,VEH-077,MOTORBIKE,VEH-224,306.7,50.9,64.1,-13.2,-6.13,6.13,23.7,HARD_BRAKING,C-V2V,52.81,0.018,-73.2,SUDDEN_BRAKING,99.0,0.042,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000048,VEH-062,TRUCK,VEH-289,456.7,47.7,55.6,-7.9,1.46,0.0,4.9,NORMAL,C-V2V,59.73,0.023,-75.9,NORMAL_DRIVING,99.0,0.056,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000049,VEH-126,BUS,VEH-244,632.1,79.5,80.7,-1.2,0.44,0.0,12.5,NORMAL,C-V2V,40.15,0.005,-77.6,NORMAL_DRIVING,99.0,0.024,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000050,VEH-018,BUS,VEH-192,298.7,59.6,37.8,21.8,0.76,0.0,7.7,NORMAL,C-V2V,54.13,0.007,-67.7,NORMAL_DRIVING,49.33,0.085,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000051,VEH-026,MOTORBIKE,VEH-262,257.9,46.6,43.0,3.6,-6.11,6.11,42.7,HARD_BRAKING,DSRC,3.1,0.042,-86.4,SUDDEN_BRAKING,99.0,0.103,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000052,VEH-128,SUV,VEH-202,932.0,72.7,48.7,24.0,0.39,0.0,41.8,NORMAL,C-V2V,47.88,0.014,-87.1,PEDESTRIAN_CONFLICT,99.0,0.096,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000053,VEH-036,AMBULANCE,VEH-226,413.8,29.2,17.2,12.0,-1.49,1.49,28.0,LIGHT_BRAKING,C-V2V,51.83,0.013,-75.7,NORMAL_DRIVING,99.0,0.07,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000054,VEH-101,AMBULANCE,VEH-270,232.8,76.7,60.6,16.1,-0.48,0.48,19.8,LIGHT_BRAKING,DSRC,5.21,0.034,-82.8,HAZARD,52.05,0.012,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000055,VEH-009,CAR,VEH-220,274.0,41.1,48.1,-7.0,2.13,0.0,11.8,NORMAL,DSRC,6.76,0.043,-91.3,NORMAL_DRIVING,99.0,0.039,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000056,VEH-071,BUS,VEH-256,187.0,84.6,74.1,10.5,0.23,0.0,52.7,NORMAL,DSRC,7.05,0.034,-73.0,HAZARD,64.11,0.114,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000057,VEH-126,BUS,VEH-289,799.8,35.7,40.0,-4.3,1.05,0.0,53.2,NORMAL,C-V2V,42.67,0.026,-81.1,NORMAL_DRIVING,99.0,0.123,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000058,VEH-023,SUV,VEH-296,96.7,59.4,59.0,0.4,1.07,0.0,8.1,NORMAL,DSRC,4.39,0.011,-55.5,NORMAL_DRIVING,99.0,0.063,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000059,VEH-127,TRUCK,VEH-240,143.6,26.9,44.4,-17.5,2.16,0.0,17.5,NORMAL,C-V2V,45.39,0.023,-64.4,NORMAL_DRIVING,99.0,0.143,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000060,VEH-111,AMBULANCE,VEH-253,630.1,79.0,98.1,-19.1,1.91,0.0,1.5,NORMAL,C-V2V,60.62,0.018,-77.5,NORMAL_DRIVING,99.0,0.027,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000061,VEH-056,TRUCK,VEH-220,200.4,41.7,27.2,14.5,-0.94,0.94,68.2,LIGHT_BRAKING,DSRC,7.49,0.025,-74.6,NORMAL_DRIVING,49.75,0.142,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000062,VEH-132,TRUCK,VEH-160,1112.7,21.8,40.6,-18.8,-11.01,11.01,32.4,CRASH_STOP,C-V2V,47.17,0.03,-96.1,ACCIDENT,99.0,0.943,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000063,VEH-013,AMBULANCE,VEH-189,936.2,51.1,68.1,-17.0,-0.33,0.33,15.0,LIGHT_BRAKING,C-V2V,25.03,0.022,-88.3,NORMAL_DRIVING,99.0,0.044,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000064,VEH-025,TRUCK,VEH-222,632.0,60.3,48.7,11.6,0.89,0.0,59.0,NORMAL,C-V2V,56.97,0.027,-79.6,EMERGENCY_VEHICLE,99.0,0.016,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000065,VEH-033,SUV,VEH-284,118.0,62.7,80.0,-17.3,2.13,0.0,2.9,NORMAL,C-V2V,38.33,0.032,-61.5,NORMAL_DRIVING,99.0,0.036,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000066,VEH-079,SUV,VEH-166,124.4,75.0,70.2,4.8,-7.62,7.62,7.5,HARD_BRAKING,DSRC,4.71,0.016,-61.6,SUDDEN_BRAKING,93.3,0.016,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000067,VEH-104,BUS,VEH-207,224.5,28.2,34.7,-6.5,1.67,0.0,10.3,NORMAL,DSRC,4.73,0.042,-77.8,HAZARD,99.0,0.099,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000068,VEH-062,BUS,VEH-169,285.1,20.8,2.2,18.6,1.67,0.0,10.1,NORMAL,DSRC,5.12,0.058,-91.3,NORMAL_DRIVING,55.18,0.066,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000069,VEH-048,MOTORBIKE,VEH-189,28.0,17.6,1.5,16.1,-9.39,9.39,14.0,HARD_BRAKING,DSRC,8.15,0.012,-43.5,SUDDEN_BRAKING,6.26,0.755,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000070,VEH-072,MOTORBIKE,VEH-246,21.3,38.3,52.0,-13.7,2.15,0.0,33.8,NORMAL,DSRC,2.88,0.011,-43.9,NORMAL_DRIVING,99.0,0.135,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000071,VEH-025,SUV,VEH-253,1134.4,50.3,53.0,-2.7,0.54,0.0,19.6,NORMAL,C-V2V,29.62,0.027,-92.3,EMERGENCY_VEHICLE,99.0,0.13,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000072,VEH-092,SUV,VEH-247,136.8,71.5,61.0,10.5,0.57,0.0,51.9,NORMAL,DSRC,7.26,0.023,-62.5,NORMAL_DRIVING,46.9,0.017,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000073,VEH-023,MOTORBIKE,VEH-179,756.7,81.7,82.2,-0.5,0.59,0.0,33.5,NORMAL,C-V2V,26.35,0.01,-79.1,NORMAL_DRIVING,99.0,0.044,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000074,VEH-044,AMBULANCE,VEH-292,44.4,18.2,0.0,18.2,-0.35,0.35,59.0,LIGHT_BRAKING,DSRC,4.36,0.01,-48.2,HAZARD,8.78,0.012,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000075,VEH-031,CAR,VEH-244,707.9,79.2,92.0,-12.8,1.65,0.0,57.3,NORMAL,C-V2V,23.1,0.027,-81.9,HAZARD,99.0,0.126,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000076,VEH-082,MOTORBIKE,VEH-179,131.9,67.9,86.1,-18.2,0.92,0.0,20.0,NORMAL,C-V2V,53.29,0.014,-63.6,NORMAL_DRIVING,99.0,0.036,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000077,VEH-101,CAR,VEH-186,800.5,43.1,41.6,1.5,-8.6,8.6,15.0,HARD_BRAKING,C-V2V,45.87,0.009,-85.9,SUDDEN_BRAKING,99.0,0.087,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000078,VEH-111,TRUCK,VEH-197,286.2,27.1,41.0,-13.9,1.65,0.0,16.0,NORMAL,C-V2V,56.16,0.028,-65.1,HAZARD,99.0,0.062,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000079,VEH-086,TRUCK,VEH-229,73.8,46.5,24.9,21.6,-0.81,0.81,3.0,LIGHT_BRAKING,DSRC,4.86,0.012,-54.3,HAZARD,12.3,0.123,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000080,VEH-037,SUV,VEH-186,204.4,30.0,13.7,16.3,0.91,0.0,8.6,NORMAL,DSRC,7.28,0.038,-79.6,NORMAL_DRIVING,45.14,0.039,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000081,AMB-07,AMBULANCE,VEH-198,114.9,55.6,54.0,1.6,-9.29,9.29,24.4,HARD_BRAKING,DSRC,8.29,0.011,-61.4,SUDDEN_BRAKING,99.0,0.078,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000082,VEH-028,AMBULANCE,VEH-232,878.6,70.7,81.3,-10.6,1.51,0.0,21.6,NORMAL,C-V2V,39.15,0.035,-86.5,HAZARD,99.0,0.037,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000083,VEH-040,AMBULANCE,VEH-260,215.9,59.8,53.5,6.3,0.68,0.0,13.4,NORMAL,DSRC,6.63,0.033,-77.0,NORMAL_DRIVING,99.0,0.094,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000084,VEH-087,MOTORBIKE,VEH-296,276.0,30.2,6.7,23.5,-8.44,8.44,17.7,CRASH_STOP,DSRC,4.94,0.057,-92.6,ACCIDENT,42.28,0.948,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000085,VEH-082,TRUCK,VEH-238,138.9,69.3,67.0,2.3,-12.03,12.03,7.4,CRASH_STOP,DSRC,4.66,0.024,-63.8,ACCIDENT,99.0,0.928,1,CRITICAL,SYNTHETIC V2V TELEMETRY
V2V-MSG-000086,VEH-048,TRUCK,VEH-183,302.9,33.2,17.3,15.9,-0.1,0.1,18.8,LIGHT_BRAKING,C-V2V,41.6,0.035,-69.4,NORMAL_DRIVING,68.58,0.132,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000087,VEH-083,BUS,VEH-154,245.2,20.4,25.0,-4.6,-1.57,1.57,29.2,LIGHT_BRAKING,DSRC,7.56,0.043,-84.7,NORMAL_DRIVING,99.0,0.099,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000088,VEH-059,AMBULANCE,VEH-288,999.2,22.9,20.5,2.4,-0.38,0.38,16.9,LIGHT_BRAKING,C-V2V,63.5,0.028,-88.6,PEDESTRIAN_CONFLICT,99.0,0.04,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000089,VEH-013,CAR,VEH-174,1047.5,61.9,68.2,-6.3,-1.94,1.94,17.3,LIGHT_BRAKING,C-V2V,32.23,0.029,-89.6,NORMAL_DRIVING,99.0,0.117,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000090,VEH-039,TRUCK,VEH-270,62.8,33.6,36.8,-3.2,-0.64,0.64,27.7,LIGHT_BRAKING,DSRC,6.75,0.014,-51.9,NORMAL_DRIVING,99.0,0.109,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000091,VEH-102,MOTORBIKE,VEH-175,234.8,21.2,4.5,16.7,-6.97,6.97,39.3,HARD_BRAKING,DSRC,7.73,0.042,-82.3,SUDDEN_BRAKING,50.62,0.046,1,WARNING,SYNTHETIC V2V TELEMETRY
V2V-MSG-000092,VEH-078,CAR,VEH-195,446.9,41.2,19.9,21.3,1.94,0.0,57.4,NORMAL,C-V2V,32.53,0.006,-76.6,NORMAL_DRIVING,75.53,0.149,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000093,VEH-063,BUS,VEH-247,281.4,41.8,40.5,1.3,-0.36,0.36,11.6,LIGHT_BRAKING,DSRC,2.26,0.057,-91.9,NORMAL_DRIVING,99.0,0.148,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000094,VEH-017,SUV,VEH-250,174.5,76.3,82.2,-5.9,-2.12,2.12,7.2,LIGHT_BRAKING,DSRC,4.12,0.02,-70.3,NORMAL_DRIVING,99.0,0.065,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000095,VEH-017,MOTORBIKE,VEH-271,151.7,34.4,43.2,-8.8,0.58,0.0,20.2,NORMAL,DSRC,8.21,0.023,-64.5,NORMAL_DRIVING,99.0,0.061,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000096,VEH-139,MOTORBIKE,VEH-194,328.4,71.4,53.0,18.4,-0.77,0.77,37.6,LIGHT_BRAKING,C-V2V,57.89,0.008,-68.1,NORMAL_DRIVING,64.25,0.083,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000097,VEH-137,MOTORBIKE,VEH-253,175.2,21.3,27.5,-6.2,0.63,0.0,9.6,NORMAL,DSRC,3.27,0.019,-71.7,NORMAL_DRIVING,99.0,0.058,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000098,VEH-136,SUV,VEH-162,1121.7,41.1,42.8,-1.7,-0.44,0.44,15.1,LIGHT_BRAKING,C-V2V,49.4,0.026,-90.6,NORMAL_DRIVING,99.0,0.149,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000099,VEH-039,MOTORBIKE,VEH-165,205.3,71.9,51.8,20.1,2.18,0.0,24.1,NORMAL,DSRC,6.46,0.026,-79.8,PEDESTRIAN_CONFLICT,36.77,0.011,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000100,VEH-143,AMBULANCE,VEH-192,205.4,38.7,51.7,-13.0,1.32,0.0,14.0,NORMAL,DSRC,3.34,0.026,-79.8,NORMAL_DRIVING,99.0,0.07,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000101,VEH-034,TRUCK,VEH-297,62.1,23.8,11.7,12.1,1.44,0.0,18.0,NORMAL,DSRC,7.38,0.01,-52.3,NORMAL_DRIVING,18.48,0.101,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000102,VEH-104,SUV,VEH-287,1074.8,43.2,42.6,0.6,0.0,0.0,17.5,NORMAL,C-V2V,60.26,0.021,-95.8,NORMAL_DRIVING,99.0,0.131,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000103,VEH-025,CAR,VEH-188,178.1,67.1,82.5,-15.4,-1.8,1.8,9.5,LIGHT_BRAKING,C-V2V,63.15,0.034,-67.0,NORMAL_DRIVING,99.0,0.123,0,SAFE,SYNTHETIC V2V TELEMETRY
V2V-MSG-000104,VEH-035,CAR,VEH-187,565.4,57.3,65.1,-7.8,-0.02,0.02,25.5,LIGHT_BRAKING,C-V2V,64.89,0.009,-73.8,EMERGENCY_VEHICLE,99.0,0.014,1,WARNING,SYNTHETIC V2V TELEMETRY
