record_id,timestamp,hour,zone_id,zone_name,lead_deceleration_mps2,approaching_speed_kmh,inter_vehicle_distance_m,time_to_collision_sec,v2v_warning_latency_ms,driver_reaction_time_sec,road_friction_coeff,traffic_density,secondary_collision_risk,reroute_recommended,synthetic_label
SEC-000107,2026-02-08 14:04:00,14,BLR-YESHW-12,Yeshwanthpur TTMC Circle,10.73,33.3,124.7,13.48,11.53,1.53,0.52,0.88,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000108,2026-01-20 04:44:00,4,BLR-MARATH-05,Marathahalli Bridge,3.73,73.4,52.7,2.58,2.66,1.24,0.71,0.54,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000109,2026-02-20 04:22:00,4,BLR-WFIELD-07,Whitefield ITPL Main Gate,2.9,83.7,63.3,2.72,11.09,1.47,0.71,0.75,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000110,2026-01-29 15:07:00,15,BLR-YESHW-12,Yeshwanthpur TTMC Circle,11.15,43.8,72.4,5.95,11.39,1.74,0.35,0.17,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000111,2026-01-12 19:10:00,19,BLR-MARATH-05,Marathahalli Bridge,2.02,59.4,132.0,8.0,8.37,1.75,0.55,0.6,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000112,2026-01-12 14:12:00,14,BLR-BELLAN-06,Bellandur EcoSpace,11.47,54.2,108.4,7.2,3.91,1.86,0.64,0.81,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000113,2026-02-11 21:36:00,21,BLR-SILK-01,Silk Board Junction,10.89,51.7,129.0,8.98,10.69,1.83,0.76,0.57,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000114,2026-02-13 15:10:00,15,BLR-ORR-08,Outer Ring Road Sarjapur Jn,8.5,40.4,135.6,12.08,11.64,2.0,0.58,0.6,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000115,2026-02-25 00:51:00,0,BLR-KRPUR-03,KR Puram Hanging Bridge,8.91,48.1,74.5,5.58,10.01,0.96,0.76,0.72,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000116,2026-02-19 08:06:00,8,BLR-MARATH-05,Marathahalli Bridge,8.97,51.7,104.6,7.28,9.93,2.0,0.58,0.73,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000117,2026-01-10 11:50:00,11,BLR-MARATH-05,Marathahalli Bridge,5.81,29.8,54.8,6.62,11.72,2.06,0.84,0.4,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000118,2026-03-28 14:11:00,14,BLR-ORR-08,Outer Ring Road Sarjapur Jn,10.05,63.6,128.9,7.3,2.91,2.03,0.4,0.25,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000119,2026-01-13 20:26:00,20,BLR-INDIRA-10,Indiranagar 100ft Road,2.16,84.7,14.1,0.6,6.54,0.77,0.84,0.39,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000120,2026-02-07 06:18:00,6,BLR-SILK-01,Silk Board Junction,3.24,37.1,40.8,3.96,6.02,2.06,0.6,0.44,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000121,2026-03-23 19:35:00,19,BLR-KORAM-09,Koramangala Sony World Jn,2.56,45.1,24.2,1.93,6.63,0.99,0.82,0.8,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000122,2026-01-13 16:45:00,16,BLR-ORR-08,Outer Ring Road Sarjapur Jn,4.77,69.7,48.4,2.5,5.81,1.81,0.61,0.46,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000123,2026-02-16 13:44:00,13,BLR-KORAM-09,Koramangala Sony World Jn,4.24,60.8,106.1,6.28,8.94,1.54,0.57,0.61,MEDIUM,0,SYNTHETIC_V2V_COLLISION_RISK
SEC-000124,2026-01-12 20:28:00,20,BLR-SILK-01,Silk Board Junction,8.91,45.4,21.2,1.68,7.4,2.02,0.55,0.37,CRITICAL,1,SYNTHETIC_V2V_COLLISION_RISK
SEC-000125,2026-02-01 15:28:00,15,BLR-KORAM-09,Koramangala Sony World Jn,5.0,68.6,46.2,2.42,6.43,1.81,0.74,0.52,HIGH,1,SYNTHETIC_V2V_COLLISION_RISK
